,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SC_AR_S01_HE 220 M,HE 220 M,226.0,240.0,26.0,26.0,18.0,149.4,117.0,1.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 240 AA,HE 240 AA,240.0,224.0,9.0,9.0,21.0,60.38,47.4,1.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 240 A,HE 240 A,240.0,230.0,12.0,12.0,21.0,76.84,60.3,1.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 240 B,HE 240 B,240.0,240.0,17.0,17.0,21.0,106.0,83.2,1.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 240 M,HE 240 M,248.0,270.0,32.0,32.0,21.0,199.6,157.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 260 AA,HE 260 AA,260.0,244.0,9.5,9.5,24.0,68.97,54.1,1.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 260 A,HE 260 A,260.0,250.0,12.5,12.5,24.0,86.82,68.2,1.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 260 B,HE 260 B,260.0,260.0,17.5,17.5,24.0,118.4,93.0,1.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 260 M,HE 260 M,268.0,290.0,32.5,32.5,24.0,219.6,172.0,1.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 280 AA,HE 280 AA,280.0,264.0,10.0,10.0,24.0,78.02,61.2,1.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 280 A,HE 280 A,280.0,270.0,13.0,13.0,24.0,97.26,76.4,1.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 280 B,HE 280 B,280.0,280.0,18.0,18.0,24.0,131.4,103.0,1.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 280 M,HE 280 M,288.0,310.0,33.0,33.0,24.0,240.2,189.0,1.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 300 AA,HE 300 AA,300.0,283.0,10.5,10.5,27.0,88.91,69.8,1.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 300 A,HE 300 A,300.0,290.0,14.0,14.0,27.0,112.5,88.0,1.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 300 B,HE 300 B,300.0,300.0,19.0,19.0,27.0,149.1,117.0,1.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 300 M,HE 300 M,310.0,340.0,39.0,39.0,27.0,303.1,238.0,1.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 320 AA,HE 320 AA,300.0,301.0,11.0,11.0,27.0,94.58,74.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 320 A,HE 320 A,300.0,310.0,15.5,15.5,27.0,124.4,97.6,1.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 320 B,HE 320 B,300.0,320.0,20.5,20.5,27.0,161.3,127.0,1.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 320 M,HE 320 M,309.0,359.0,40.0,40.0,27.0,312.0,245.0,1.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 340 AA,HE 340 AA,300.0,320.0,11.5,11.5,27.0,100.5,78.9,1.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 340 A,HE 340 A,300.0,330.0,16.5,16.5,27.0,133.5,105.0,1.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 340 B,HE 340 B,300.0,340.0,21.5,21.5,27.0,170.9,134.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 340 M,HE 340 M,309.0,377.0,40.0,40.0,27.0,315.8,248.0,1.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 360 AA,HE 360 AA,300.0,339.0,12.0,12.0,27.0,106.6,84.0,1.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 360 A,HE 360 A,300.0,350.0,17.5,17.5,27.0,142.8,112.0,1.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 360 B,HE 360 B,300.0,360.0,22.5,22.5,27.0,180.6,142.0,1.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 360 M,HE 360 M,308.0,395.0,40.0,40.0,27.0,318.8,250.0,1.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 400 AA,HE 400 AA,300.0,378.0,13.0,13.0,27.0,117.7,92.0,1.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 400 A,HE 400 A,300.0,390.0,19.0,19.0,27.0,159.0,125.0,1.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 400 B,HE 400 B,300.0,400.0,24.0,24.0,27.0,197.8,155.0,1.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 400 M,HE 400 M,307.0,432.0,40.0,40.0,27.0,325.8,256.0,2.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 450 AA,HE 450 AA,300.0,425.0,13.5,13.5,27.0,127.1,100.0,1.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 450 A,HE 450 A,300.0,440.0,21.0,21.0,27.0,178.0,140.0,2.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 450 B,HE 450 B,300.0,450.0,26.0,26.0,27.0,218.0,171.0,2.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 450 M,HE 450 M,307.0,478.0,40.0,40.0,27.0,335.4,263.0,2.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 500 AA,HE 500 AA,300.0,472.0,14.0,14.0,27.0,136.9,107.0,2.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 500 A,HE 500 A,300.0,490.0,23.0,23.0,27.0,197.5,155.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 500 B,HE 500 B,300.0,500.0,28.0,28.0,27.0,238.6,187.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 500 M,HE 500 M,306.0,524.0,40.0,40.0,27.0,344.3,270.0,2.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 550 AA,HE 550 AA,300.0,522.0,15.0,15.0,27.0,152.8,120.0,2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 550 A,HE 550 A,300.0,540.0,24.0,24.0,27.0,211.8,166.0,2.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 550 B,HE 550 B,300.0,550.0,29.0,29.0,27.0,254.1,199.0,2.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 550 M,HE 550 M,306.0,572.0,40.0,40.0,27.0,354.4,278.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 AA,HE 600 AA,300.0,571.0,15.5,15.5,27.0,164.1,129.0,2.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 A,HE 600 A,300.0,590.0,25.0,25.0,27.0,226.5,178.0,2.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 B,HE 600 B,300.0,600.0,30.0,30.0,27.0,270.0,212.0,2.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 M,HE 600 M,305.0,620.0,40.0,40.0,27.0,363.7,285.0,2.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 x 337,HE 600 x 337,310.0,632.0,46.0,46.0,27.0,429.2,337.0,2.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 600 x 399,HE 600 x 399,315.0,648.0,54.0,54.0,27.0,508.5,399.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 AA,HE 650 AA,300.0,620.0,16.0,16.0,27.0,175.8,138.0,2.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 A,HE 650 A,300.0,640.0,26.0,26.0,27.0,241.6,190.0,2.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 B,HE 650 B,300.0,650.0,31.0,31.0,27.0,286.3,225.0,2.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 M,HE 650 M,305.0,668.0,40.0,40.0,27.0,373.7,293.0,2.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 x 343,HE 650 x 343,309.0,680.0,46.0,46.0,27.0,437.5,343.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 650 x 407,HE 650 x 407,314.0,696.0,54.0,54.0,27.0,518.8,407.0,2.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 AA,HE 700 AA,300.0,670.0,17.0,17.0,27.0,190.9,150.0,2.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 A,HE 700 A,300.0,690.0,27.0,27.0,27.0,260.5,204.0,2.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 B,HE 700 B,300.0,700.0,32.0,32.0,27.0,306.4,241.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 M,HE 700 M,304.0,716.0,40.0,40.0,27.0,383.0,301.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 x 352,HE 700 x 352,308.0,728.0,46.0,46.0,27.0,448.6,352.0,2.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 700 x 418,HE 700 x 418,313.0,744.0,54.0,54.0,27.0,531.9,418.0,2.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 AA,HE 800 AA,300.0,770.0,18.0,18.0,30.0,218.5,172.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 A,HE 800 A,300.0,790.0,28.0,28.0,30.0,285.8,224.0,2.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 B,HE 800 B,300.0,800.0,33.0,33.0,30.0,334.2,262.0,2.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 M,HE 800 M,303.0,814.0,40.0,40.0,30.0,404.3,317.0,2.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 x 373,HE 800 x 373,308.0,826.0,46.0,46.0,30.0,474.6,373.0,2.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 800 x 444,HE 800 x 444,313.0,842.0,54.0,54.0,30.0,566.0,444.0,2.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 AA,HE 900 AA,300.0,870.0,20.0,20.0,30.0,252.2,198.0,2.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 A,HE 900 A,300.0,890.0,30.0,30.0,30.0,320.5,252.0,2.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 B,HE 900 B,300.0,900.0,35.0,35.0,30.0,371.3,291.0,2.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 M,HE 900 M,302.0,910.0,40.0,40.0,30.0,423.6,333.0,2.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 x 391,HE 900 x 391,307.0,922.0,46.0,46.0,30.0,497.7,391.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 900 x 466,HE 900 x 466,312.0,938.0,54.0,54.0,30.0,593.7,466.0,3.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 AA,HE 1000 AA,300.0,970.0,21.0,21.0,30.0,282.2,222.0,3.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 A,HE 1000 A,300.0,990.0,31.0,31.0,30.0,346.8,272.0,3.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 B,HE 1000 B,300.0,1000.0,36.0,36.0,30.0,400.0,314.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 M,HE 1000 M,302.0,1008.0,40.0,40.0,30.0,444.2,349.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 x 393,HE 1000 x 393,303.0,1016.0,43.9,43.9,30.0,500.2,393.0,3.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 x 409,HE 1000 x 409,306.0,1020.0,46.0,46.0,30.0,521.2,409.0,3.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 x 488,HE 1000 x 488,311.0,1036.0,54.0,54.0,30.0,622.0,488.0,3.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HE 1000 x 579,HE 1000 x 579,316.0,1056.0,64.0,64.0,30.0,737.0,579.0,3.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 342,HL 920 x 342,418.0,912.0,32.0,32.0,24.0,436.1,342.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 365,HL 920 x 365,419.0,916.0,34.3,34.3,24.0,464.4,365.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
