,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_AR_S01_W610x341,W610x341,333.0,660.0,43.9,24.4,12.7,43400.0,341.0,2.59,3180000000.0,271000000.0,9640000.0,1630000.0,11100000.0,2520000.0,21400000.0,25800000000000.0,0.0,W24x229
H_SC_AR_S01_W610x307,W610x307,330.0,653.0,39.9,22.1,12.7,39200.0,307.0,2.57,2840000000.0,241000000.0,8700000.0,1460000.0,9930000.0,2250000.0,15900000.0,22600000000000.0,0.0,W24x207
H_SC_AR_S01_W610x285,W610x285,330.0,648.0,37.1,20.6,12.7,36500.0,285.0,2.57,2610000000.0,221000000.0,8050000.0,1340000.0,9160000.0,2060000.0,12800000.0,20500000000000.0,0.0,W24x192
H_SC_AR_S01_W610x262,W610x262,328.0,640.0,34.0,19.1,12.7,33400.0,262.0,2.53,2360000000.0,199000000.0,7370000.0,1220000.0,8370000.0,1880000.0,9950000.0,18400000000000.0,0.0,W24x176
H_SC_AR_S01_W610x241,W610x241,330.0,635.0,31.0,17.9,12.7,30800.0,241.0,2.53,2150000000.0,184000000.0,6780000.0,1120000.0,7670000.0,1720000.0,7700000.0,16800000000000.0,0.0,W24x162
H_SC_AR_S01_W610x217,W610x217,328.0,627.0,27.7,16.5,12.7,27700.0,217.0,2.51,1910000000.0,163000000.0,6080000.0,991000.0,6850000.0,1530000.0,5580000.0,14700000000000.0,0.0,W24x146
H_SC_AR_S01_W610x195,W610x195,328.0,622.0,24.4,15.4,12.7,24900.0,195.0,2.5,1670000000.0,142000000.0,5390000.0,869000.0,6060000.0,1340000.0,3950000.0,12600000000000.0,0.0,W24x131
H_SC_AR_S01_W610x174,W610x174,325.0,617.0,21.6,14.0,12.7,22200.0,174.0,2.48,1470000000.0,124000000.0,4770000.0,762000.0,5360000.0,1170000.0,2800000.0,11000000000000.0,0.0,W24x117
H_SC_AR_S01_W610x155,W610x155,325.0,612.0,19.1,12.7,12.7,19800.0,155.0,2.48,1290000000.0,108000000.0,4230000.0,667000.0,4740000.0,1020000.0,1960000.0,9450000000000.0,0.0,W24x104
H_SC_AR_S01_W610x153,W610x153,229.0,622.0,24.9,14.0,12.7,19500.0,153.0,2.11,1250000000.0,49500000.0,4010000.0,434000.0,4590000.0,680000.0,2940000.0,4460000000000.0,0.0,W24x103
H_SC_AR_S01_W610x140,W610x140,230.0,617.0,22.2,13.1,12.9,17900.0,140.0,2.11,1120000000.0,45400000.0,3640000.0,393000.0,4160000.0,615000.0,2190000.0,4030000000000.0,0.0,W24x94
H_SC_AR_S01_W610x125,W610x125,229.0,612.0,19.6,11.9,12.7,15900.0,125.0,2.1,986000000.0,39300000.0,3210000.0,342000.0,3670000.0,534000.0,1540000.0,3440000000000.0,0.0,W24x84
H_SC_AR_S01_W610x113,W610x113,228.0,607.0,17.3,11.2,12.7,14500.0,113.0,2.08,874000000.0,34300000.0,2880000.0,302000.0,3280000.0,469000.0,1120000.0,2980000000000.0,0.0,W24x76
H_SC_AR_S01_W610x101,W610x101,228.0,602.0,14.9,10.5,12.8,13000.0,101.0,2.07,762000000.0,29300000.0,2520000.0,257000.0,2900000.0,401000.0,778000.0,2530000000000.0,0.0,W24x68
H_SC_AR_S01_W610x92,W610x92,179.0,602.0,15.0,10.9,12.7,11700.0,92.0,1.87,645000000.0,14400000.0,2150000.0,161000.0,2510000.0,257000.0,712000.0,1240000000000.0,0.0,W24x62
H_SC_AR_S01_W610x82,W610x82,178.0,599.0,12.8,10.0,12.9,10500.0,82.0,1.87,562000000.0,12100000.0,1870000.0,136000.0,2200000.0,218000.0,491000.0,1040000000000.0,0.0,W24x55
H_SC_AR_S01_W530x300,W530x300,320.0,584.0,41.4,23.1,12.7,38300.0,300.0,2.38,2210000000.0,226000000.0,7550000.0,1410000.0,8690000.0,2180000.0,17000000.0,16600000000000.0,0.0,W21x201
H_SC_AR_S01_W530x272,W530x272,318.0,577.0,37.6,21.1,12.7,34600.0,272.0,2.36,1970000000.0,201000000.0,6830000.0,1270000.0,7800000.0,1950000.0,12800000.0,14600000000000.0,0.0,W21x182
H_SC_AR_S01_W530x248,W530x248,315.0,572.0,34.5,19.1,12.7,31500.0,248.0,2.34,1780000000.0,181000000.0,6230000.0,1150000.0,7080000.0,1770000.0,9820000.0,13000000000000.0,0.0,W21x166
H_SC_AR_S01_W530x219,W530x219,318.0,561.0,29.2,18.3,12.7,27900.0,219.0,2.33,1510000000.0,157000000.0,5390000.0,985000.0,6110000.0,1520000.0,6410000.0,11000000000000.0,0.0,W21x147
H_SC_AR_S01_W530x196,W530x196,315.0,554.0,26.4,16.5,12.7,25000.0,196.0,2.31,1340000000.0,139000000.0,4830000.0,877000.0,5460000.0,1350000.0,4700000.0,9670000000000.0,0.0,W21x132
H_SC_AR_S01_W530x182,W530x182,315.0,551.0,24.4,15.2,12.7,23200.0,182.0,2.31,1230000000.0,127000000.0,4470000.0,806000.0,5030000.0,1240000.0,3740000.0,8780000000000.0,0.0,W21x122
H_SC_AR_S01_W530x165,W530x165,312.0,546.0,22.2,14.0,12.9,21000.0,165.0,2.29,1110000000.0,114000000.0,4080000.0,729000.0,4570000.0,1120000.0,2840000.0,7840000000000.0,0.0,W21x111
H_SC_AR_S01_W530x150,W530x150,312.0,544.0,20.3,12.7,12.7,19200.0,150.0,2.29,1010000000.0,103000000.0,3720000.0,660000.0,4150000.0,1010000.0,2170000.0,7040000000000.0,0.0,W21x101
H_SC_AR_S01_W530x138,W530x138,214.0,549.0,23.6,14.7,12.7,17600.0,138.0,1.9,862000000.0,38700000.0,3150000.0,362000.0,3620000.0,569000.0,2510000.0,2670000000000.0,0.0,W21x93
H_SC_AR_S01_W530x123,W530x123,212.0,544.0,21.2,13.1,12.8,15700.0,123.0,1.89,762000000.0,33900000.0,2800000.0,320000.0,3210000.0,500000.0,1810000.0,2320000000000.0,0.0,W21x83
H_SC_AR_S01_W530x109,W530x109,211.0,538.0,18.8,11.6,12.7,13900.0,109.0,1.87,666000000.0,29400000.0,2470000.0,279000.0,2820000.0,436000.0,1260000.0,1990000000000.0,0.0,W21x73
H_SC_AR_S01_W530x101,W530x101,210.0,536.0,17.4,10.9,12.8,12900.0,101.0,1.87,616000000.0,26900000.0,2290000.0,257000.0,2620000.0,400000.0,1020000.0,1820000000000.0,0.0,W21x68
H_SC_AR_S01_W530x92,W530x92,209.0,533.0,15.6,10.2,12.8,11800.0,92.0,1.86,554000000.0,23900000.0,2080000.0,229000.0,2360000.0,356000.0,762000.0,1600000000000.0,0.0,W21x62
H_SC_AR_S01_W530x82,W530x82,209.0,528.0,13.3,9.53,12.6,10500.0,82.0,1.85,475000000.0,20100000.0,1800000.0,193000.0,2060000.0,302000.0,516000.0,1340000000000.0,0.0,W21x55
H_SC_AR_S01_W530x72,W530x72,207.0,523.0,10.9,8.89,12.7,9100.0,72.0,1.83,399000000.0,16100000.0,1520000.0,156000.0,1750000.0,244000.0,334000.0,1060000000000.0,0.0,W21x48
H_SC_AR_S01_W530x85,W530x85,167.0,536.0,16.5,10.3,12.7,10800.0,85.0,1.7,487000000.0,12700000.0,1820000.0,153000.0,2110000.0,243000.0,737000.0,857000000000.0,0.0,W21x57
H_SC_AR_S01_W530x74,W530x74,166.0,528.0,13.6,9.65,12.8,9480.0,74.0,1.68,410000000.0,10400000.0,1550000.0,125000.0,1800000.0,200000.0,475000.0,690000000000.0,0.0,W21x50
H_SC_AR_S01_W530x66,W530x66,165.0,526.0,11.4,8.89,12.7,8390.0,66.0,1.67,351000000.0,8620000.0,1340000.0,104000.0,1560000.0,167000.0,320000.0,567000000000.0,0.0,W21x44
H_SC_AR_S01_W460x464,W460x464,305.0,566.0,69.6,38.6,12.7,59100.0,464.0,2.25,2900000000.0,331000000.0,10200000.0,2160000.0,12400000.0,3390000.0,73300000.0,20500000000000.0,0.0,W18x311
H_SC_AR_S01_W460x421,W460x421,302.0,556.0,63.5,35.6,12.7,53700.0,421.0,2.23,2570000000.0,293000000.0,9260000.0,1930000.0,11100000.0,3030000.0,55800000.0,17700000000000.0,0.0,W18x283
H_SC_AR_S01_W460x384,W460x384,300.0,546.0,58.4,32.5,10.2,49000.0,384.0,2.21,2290000000.0,261000000.0,8420000.0,1750000.0,10000000.0,2720000.0,42900000.0,15500000000000.0,0.0,W18x258
H_SC_AR_S01_W460x349,W460x349,297.0,536.0,53.6,29.5,10.2,44300.0,349.0,2.18,2040000000.0,232000000.0,7640000.0,1570000.0,9000000.0,2440000.0,32800000.0,13500000000000.0,0.0,W18x234
H_SC_AR_S01_W460x315,W460x315,295.0,526.0,48.5,26.9,10.2,40200.0,315.0,2.16,1800000000.0,205000000.0,6870000.0,1400000.0,8030000.0,2160000.0,24400000.0,11700000000000.0,0.0,W18x211
H_SC_AR_S01_W460x286,W460x286,292.0,518.0,44.5,24.4,10.1,36300.0,286.0,2.14,1610000000.0,183000000.0,6230000.0,1260000.0,7240000.0,1950000.0,18600000.0,10200000000000.0,0.0,W18x192
H_SC_AR_S01_W460x260,W460x260,290.0,508.0,40.4,22.6,10.1,33200.0,260.0,2.11,1440000000.0,163000000.0,5640000.0,1130000.0,6520000.0,1740000.0,14100000.0,8940000000000.0,0.0,W18x175
H_SC_AR_S01_W460x235,W460x235,287.0,500.0,36.6,20.6,10.1,29900.0,235.0,2.09,1270000000.0,144000000.0,5080000.0,1010000.0,5830000.0,1550000.0,10500000.0,7790000000000.0,0.0,W18x158
H_SC_AR_S01_W460x213,W460x213,284.0,495.0,33.5,18.5,10.2,27100.0,213.0,2.07,1140000000.0,129000000.0,4620000.0,909000.0,5280000.0,1400000.0,7990000.0,6900000000000.0,0.0,W18x143
H_SC_AR_S01_W460x193,W460x193,284.0,490.0,30.5,17.0,10.1,24700.0,193.0,2.07,1020000000.0,116000000.0,4200000.0,818000.0,4750000.0,1260000.0,6040000.0,6100000000000.0,0.0,W18x130
H_SC_AR_S01_W460x177,W460x177,287.0,483.0,26.9,16.6,10.2,22600.0,177.0,2.06,912000000.0,105000000.0,3790000.0,736000.0,4290000.0,1130000.0,4410000.0,5450000000000.0,0.0,W18x119
H_SC_AR_S01_W460x158,W460x158,284.0,475.0,23.9,15.0,10.1,20100.0,158.0,2.04,795000000.0,91600000.0,3340000.0,646000.0,3770000.0,991000.0,3110000.0,4670000000000.0,0.0,W18x106
H_SC_AR_S01_W460x144,W460x144,282.0,472.0,22.1,13.6,10.2,18400.0,144.0,2.03,728000000.0,83700000.0,3080000.0,592000.0,3460000.0,906000.0,2440000.0,4240000000000.0,0.0,W18x97
H_SC_AR_S01_W460x128,W460x128,282.0,467.0,19.6,12.2,10.1,16300.0,128.0,2.02,637000000.0,72800000.0,2720000.0,518000.0,3050000.0,793000.0,1710000.0,3650000000000.0,0.0,W18x86
H_SC_AR_S01_W460x113,W460x113,279.0,462.0,17.3,10.8,10.1,14400.0,113.0,2.0,554000000.0,63300000.0,2390000.0,452000.0,2670000.0,692000.0,1180000.0,3140000000000.0,0.0,W18x76
H_SC_AR_S01_W460x106,W460x106,194.0,470.0,20.6,12.6,10.1,13500.0,106.0,1.67,487000000.0,25100000.0,2080000.0,259000.0,2390000.0,405000.0,1450000.0,1260000000000.0,0.0,W18x71
H_SC_AR_S01_W460x97,W460x97,193.0,467.0,19.1,11.4,10.1,12300.0,97.0,1.67,445000000.0,22800000.0,1920000.0,236000.0,2180000.0,369000.0,1140000.0,1140000000000.0,0.0,W18x65
H_SC_AR_S01_W460x89,W460x89,192.0,462.0,17.7,10.5,10.2,11400.0,89.0,1.65,410000000.0,20900000.0,1770000.0,218000.0,2020000.0,338000.0,903000.0,1030000000000.0,0.0,W18x60
H_SC_AR_S01_W460x82,W460x82,191.0,460.0,16.0,9.91,10.2,10500.0,82.0,1.65,370000000.0,18700000.0,1610000.0,195000.0,1840000.0,303000.0,691000.0,921000000000.0,0.0,W18x55
H_SC_AR_S01_W460x74,W460x74,191.0,457.0,14.5,9.02,10.2,9480.0,74.0,1.64,333000000.0,16700000.0,1460000.0,175000.0,1660000.0,272000.0,516000.0,816000000000.0,0.0,W18x50
H_SC_AR_S01_W460x68,W460x68,154.0,460.0,15.4,9.14,10.3,8710.0,68.0,1.5,296000000.0,9370000.0,1290000.0,122000.0,1490000.0,192000.0,508000.0,462000000000.0,0.0,W18x46
H_SC_AR_S01_W460x60,W460x60,153.0,455.0,13.3,8.0,10.2,7610.0,60.0,1.49,255000000.0,7950000.0,1120000.0,104000.0,1280000.0,164000.0,337000.0,387000000000.0,0.0,W18x40
H_SC_AR_S01_W460x52,W460x52,152.0,450.0,10.8,7.62,10.2,6650.0,52.0,1.48,212000000.0,6370000.0,944000.0,83900.0,1090000.0,132000.0,211000.0,306000000000.0,0.0,W18x35
H_SC_AR_S01_W410x149,W410x149,264.0,432.0,25.0,14.9,10.3,19000.0,149.0,1.87,620000000.0,77400000.0,2870000.0,585000.0,3240000.0,900000.0,3220000.0,3200000000000.0,0.0,W16x100
H_SC_AR_S01_W410x132,W410x132,264.0,427.0,22.2,13.3,10.3,16900.0,132.0,1.87,541000000.0,67800000.0,2540000.0,515000.0,2870000.0,788000.0,2270000.0,2740000000000.0,0.0,W16x89
H_SC_AR_S01_W410x114,W410x114,262.0,419.0,19.3,11.6,10.2,14600.0,114.0,1.84,462000000.0,57400000.0,2200000.0,441000.0,2460000.0,674000.0,1490000.0,2310000000000.0,0.0,W16x77
H_SC_AR_S01_W410x100,W410x100,259.0,414.0,16.9,10.0,10.3,12600.0,100.0,1.83,397000000.0,49500000.0,1920000.0,380000.0,2130000.0,582000.0,995000.0,1960000000000.0,0.0,W16x67
H_SC_AR_S01_W410x85,W410x85,181.0,417.0,18.2,10.9,10.2,10800.0,85.0,1.52,316000000.0,17900000.0,1510000.0,198000.0,1720000.0,310000.0,924000.0,714000000000.0,0.0,W16x57
H_SC_AR_S01_W410x75,W410x75,180.0,414.0,16.0,9.65,10.2,9480.0,75.0,1.51,274000000.0,15500000.0,1330000.0,172000.0,1510000.0,267000.0,633000.0,610000000000.0,0.0,W16x50
H_SC_AR_S01_W410x67,W410x67,179.0,409.0,14.4,8.76,10.2,8580.0,67.0,1.5,244000000.0,13700000.0,1190000.0,153000.0,1350000.0,238000.0,462000.0,534000000000.0,0.0,W16x45
H_SC_AR_S01_W410x60,W410x60,178.0,406.0,12.8,7.75,10.2,7610.0,60.0,1.49,216000000.0,12000000.0,1060000.0,135000.0,1200000.0,208000.0,330000.0,465000000000.0,0.0,W16x40
H_SC_AR_S01_W410x53,W410x53,178.0,404.0,10.9,7.49,10.2,6840.0,53.0,1.49,186000000.0,10200000.0,926000.0,115000.0,1050000.0,177000.0,227000.0,392000000000.0,0.0,W16x36
H_SC_AR_S01_W410x46.1,W410x46.1,140.0,404.0,11.2,6.99,10.2,5890.0,46.1,1.34,156000000.0,5160000.0,773000.0,73600.0,885000.0,115000.0,192000.0,198000000000.0,0.0,W16x31
H_SC_AR_S01_W410x38.8,W410x38.8,140.0,399.0,8.76,6.35,10.24,4950.0,38.8,1.33,125000000.0,3990000.0,629000.0,57200.0,724000.0,89800.0,109000.0,152000000000.0,0.0,W16x26
H_SC_AR_S01_W360x1086,W360x1086,455.0,569.0,125.0,78.0,15.0,139000.0,1090.0,2.77,5950000000.0,1960000000.0,21000000.0,8640000.0,27200000.0,13400000.0,604000000.0,97200000000000.0,0.0,W14x730
H_SC_AR_S01_W360x990,W360x990,450.0,549.0,115.0,71.9,15.0,126000.0,990.0,2.72,5160000000.0,1740000000.0,18800000.0,7730000.0,24300000.0,12000000.0,466000000.0,81900000000000.0,0.0,W14x665
H_SC_AR_S01_W360x900,W360x900,442.0,531.0,106.0,66.0,15.0,115000.0,900.0,2.67,4500000000.0,1530000000.0,17000000.0,6930000.0,21600000.0,10700000.0,362000000.0,69300000000000.0,0.0,W14x605
H_SC_AR_S01_W360x818,W360x818,437.0,513.0,97.0,60.5,15.0,105000.0,818.0,2.62,3930000000.0,1350000000.0,15300000.0,6190000.0,19300000.0,9550000.0,278000000.0,58800000000000.0,0.0,W14x550
H_SC_AR_S01_W360x744,W360x744,432.0,498.0,88.9,55.6,15.1,94800.0,744.0,2.59,3420000000.0,1200000000.0,13700000.0,5560000.0,17200000.0,8550000.0,214000000.0,50200000000000.0,0.0,W14x500
H_SC_AR_S01_W360x677,W360x677,427.0,483.0,81.5,51.3,15.3,86500.0,677.0,2.54,2990000000.0,1070000000.0,12400000.0,4980000.0,15300000.0,7670000.0,164000000.0,43000000000000.0,0.0,W14x455
H_SC_AR_S01_W360x634,W360x634,424.0,475.0,77.2,47.8,15.0,80600.0,634.0,2.52,2750000000.0,982000000.0,11600000.0,4640000.0,14200000.0,7110000.0,138000000.0,38700000000000.0,0.0,W14x426
H_SC_AR_S01_W360x592,W360x592,422.0,465.0,72.4,45.0,15.0,75500.0,592.0,2.5,2500000000.0,903000000.0,10700000.0,4290000.0,13100000.0,6590000.0,114000000.0,34600000000000.0,0.0,W14x398
H_SC_AR_S01_W360x551,W360x551,419.0,455.0,67.6,42.2,15.2,70300.0,551.0,2.48,2260000000.0,828000000.0,9950000.0,3950000.0,12100000.0,6060000.0,92400000.0,31200000000000.0,0.0,W14x370
H_SC_AR_S01_W360x509,W360x509,417.0,445.0,62.7,39.1,15.3,65200.0,509.0,2.45,2040000000.0,753000000.0,9140000.0,3620000.0,11000000.0,5540000.0,74100000.0,27700000000000.0,0.0,W14x342
H_SC_AR_S01_W360x463,W360x463,411.0,434.0,57.4,35.8,15.2,59000.0,463.0,2.42,1800000000.0,670000000.0,8290000.0,3260000.0,9880000.0,4980000.0,56600000.0,23900000000000.0,0.0,W14x311
H_SC_AR_S01_W360x421,W360x421,409.0,424.0,52.6,32.8,15.2,53700.0,421.0,2.39,1600000000.0,599000000.0,7520000.0,2930000.0,8880000.0,4490000.0,43300000.0,20900000000000.0,0.0,W14x283
H_SC_AR_S01_W360x382,W360x382,406.0,417.0,48.0,30.0,15.2,48800.0,382.0,2.37,1420000000.0,537000000.0,6800000.0,2640000.0,7980000.0,4030000.0,32900000.0,18200000000000.0,0.0,W14x257
H_SC_AR_S01_W360x347,W360x347,404.0,406.0,43.7,27.2,15.2,44200.0,347.0,2.35,1250000000.0,479000000.0,6150000.0,2380000.0,7140000.0,3620000.0,24800000.0,15800000000000.0,0.0,W14x233
H_SC_AR_S01_W360x314,W360x314,401.0,399.0,39.6,24.9,15.3,40000.0,314.0,2.33,1110000000.0,429000000.0,5540000.0,2130000.0,6390000.0,3240000.0,18600000.0,13800000000000.0,0.0,W14x211
H_SC_AR_S01_W360x287,W360x287,399.0,394.0,36.6,22.6,15.2,36600.0,287.0,2.31,999000000.0,388000000.0,5080000.0,1950000.0,5820000.0,2950000.0,14500000.0,12300000000000.0,0.0,W14x193
H_SC_AR_S01_W360x262,W360x262,399.0,386.0,33.3,21.1,15.2,33400.0,262.0,2.3,891000000.0,349000000.0,4600000.0,1750000.0,5240000.0,2670000.0,11000000.0,10900000000000.0,0.0,W14x176
H_SC_AR_S01_W360x237,W360x237,396.0,381.0,30.2,18.9,15.3,30100.0,237.0,2.28,791000000.0,311000000.0,4160000.0,1580000.0,4700000.0,2390000.0,8200000.0,9560000000000.0,0.0,W14x159
H_SC_AR_S01_W360x216,W360x216,394.0,376.0,27.7,17.3,15.2,27500.0,216.0,2.27,712000000.0,282000000.0,3800000.0,1430000.0,4260000.0,2180000.0,6330000.0,8510000000000.0,0.0,W14x145
H_SC_AR_S01_W360x196,W360x196,373.0,373.0,26.2,16.4,15.2,25000.0,196.0,2.18,637000000.0,228000000.0,3420000.0,1220000.0,3830000.0,1850000.0,5120000.0,6850000000000.0,0.0,W14x132
H_SC_AR_S01_W360x179,W360x179,373.0,368.0,23.9,15.0,15.2,22800.0,179.0,2.17,574000000.0,206000000.0,3110000.0,1110000.0,3470000.0,1670000.0,3900000.0,6100000000000.0,0.0,W14x120
H_SC_AR_S01_W360x162,W360x162,371.0,363.0,21.8,13.3,15.3,20600.0,162.0,2.16,516000000.0,186000000.0,2830000.0,1000000.0,3150000.0,1520000.0,2960000.0,5420000000000.0,0.0,W14x109
H_SC_AR_S01_W360x147,W360x147,371.0,361.0,19.8,12.3,15.3,18800.0,147.0,2.15,462000000.0,167000000.0,2570000.0,905000.0,2830000.0,1370000.0,2240000.0,4830000000000.0,0.0,W14x99
H_SC_AR_S01_W360x134,W360x134,368.0,356.0,18.0,11.2,15.3,17100.0,134.0,2.14,416000000.0,151000000.0,2340000.0,818000.0,2570000.0,1240000.0,1690000.0,4300000000000.0,0.0,W14x90
H_SC_AR_S01_W360x122,W360x122,257.0,363.0,21.7,13.0,15.1,15500.0,122.0,1.7,367000000.0,61600000.0,2020000.0,480000.0,2280000.0,734000.0,2110000.0,1800000000000.0,0.0,W14x82
H_SC_AR_S01_W360x110,W360x110,257.0,361.0,19.9,11.4,15.2,14100.0,110.0,1.7,331000000.0,55800000.0,1840000.0,436000.0,2060000.0,664000.0,1610000.0,1610000000000.0,0.0,W14x74
H_SC_AR_S01_W360x101,W360x101,254.0,356.0,18.3,10.5,15.0,12900.0,101.0,1.68,301000000.0,50400000.0,1690000.0,397000.0,1880000.0,605000.0,1250000.0,1440000000000.0,0.0,W14x68
H_SC_AR_S01_W360x91,W360x91,254.0,353.0,16.4,9.53,15.1,11500.0,91.0,1.68,266000000.0,44500000.0,1510000.0,352000.0,1670000.0,537000.0,912000.0,1260000000000.0,0.0,W14x61
H_SC_AR_S01_W360x79,W360x79,205.0,353.0,16.8,9.4,15.0,10100.0,79.0,1.48,225000000.0,24000000.0,1270000.0,234000.0,1430000.0,361000.0,807000.0,682000000000.0,0.0,W14x53
H_SC_AR_S01_W360x72,W360x72,204.0,351.0,15.1,8.64,15.1,9100.0,72.0,1.47,201000000.0,21400000.0,1150000.0,210000.0,1280000.0,321000.0,604000.0,602000000000.0,0.0,W14x48
H_SC_AR_S01_W360x64,W360x64,203.0,348.0,13.5,7.75,14.9,8130.0,64.0,1.47,178000000.0,18800000.0,1030000.0,185000.0,1140000.0,283000.0,437000.0,524000000000.0,0.0,W14x43
H_SC_AR_S01_W360x57.8,W360x57.8,172.0,358.0,13.1,7.87,10.1,7230.0,57.8,1.37,160000000.0,11100000.0,895000.0,129000.0,1010000.0,198000.0,332000.0,330000000000.0,0.0,W14x38
H_SC_AR_S01_W360x51,W360x51,171.0,356.0,11.6,7.24,10.1,6450.0,51.0,1.36,142000000.0,9700000.0,796000.0,113000.0,895000.0,174000.0,237000.0,287000000000.0,0.0,W14x34
H_SC_AR_S01_W360x44,W360x44,171.0,351.0,9.78,6.86,10.12,5710.0,44.0,1.35,121000000.0,8160000.0,688000.0,95400.0,775000.0,147000.0,158000.0,238000000000.0,0.0,W14x30
H_SC_AR_S01_W360x39,W360x39,128.0,353.0,10.7,6.48,10.1,4960.0,39.0,1.19,102000000.0,3710000.0,578000.0,58200.0,659000.0,90800.0,149000.0,109000000000.0,0.0,W14x26
H_SC_AR_S01_W360x32.9,W360x32.9,127.0,348.0,8.51,5.84,10.19,4190.0,32.9,1.18,82800000.0,2910000.0,475000.0,45900.0,544000.0,71900.0,86600.0,84300000000.0,0.0,W14x22
H_SC_AR_S01_W310x500,W310x500,340.0,427.0,75.2,45.2,15.0,63800.0,500.0,2.1,1690000000.0,495000000.0,7910000.0,2900000.0,9880000.0,4490000.0,101000000.0,15300000000000.0,0.0,W12x336
H_SC_AR_S01_W310x454,W310x454,335.0,414.0,68.8,41.4,15.0,57700.0,454.0,2.06,1480000000.0,437000000.0,7130000.0,2610000.0,8800000.0,4000000.0,77000000.0,13100000000000.0,0.0,W12x305
H_SC_AR_S01_W310x415,W310x415,333.0,404.0,62.7,38.9,15.3,52800.0,415.0,2.03,1290000000.0,390000000.0,6440000.0,2340000.0,7880000.0,3610000.0,59500000.0,11300000000000.0,0.0,W12x279
H_SC_AR_S01_W310x375,W310x375,330.0,391.0,57.2,35.6,15.2,47800.0,375.0,2.01,1130000000.0,345000000.0,5780000.0,2080000.0,7010000.0,3210000.0,45000000.0,9610000000000.0,0.0,W12x252
H_SC_AR_S01_W310x342,W310x342,328.0,384.0,52.6,32.8,15.2,43700.0,342.0,1.99,1010000000.0,309000000.0,5260000.0,1880000.0,6330000.0,2900000.0,34900000.0,8380000000000.0,0.0,W12x230
H_SC_AR_S01_W310x313,W310x313,325.0,373.0,48.3,30.0,15.2,39900.0,313.0,1.96,891000000.0,276000000.0,4790000.0,1700000.0,5700000.0,2610000.0,26900000.0,7300000000000.0,0.0,W12x210
H_SC_AR_S01_W310x283,W310x283,323.0,366.0,44.2,26.9,15.0,36100.0,283.0,1.94,787000000.0,245000000.0,4310000.0,1520000.0,5100000.0,2340000.0,20300000.0,6340000000000.0,0.0,W12x190
H_SC_AR_S01_W310x253,W310x253,320.0,356.0,39.6,24.4,15.3,32300.0,253.0,1.92,687000000.0,215000000.0,3850000.0,1350000.0,4510000.0,2060000.0,14800000.0,5400000000000.0,0.0,W12x170
H_SC_AR_S01_W310x226,W310x226,318.0,348.0,35.6,22.1,15.2,28800.0,226.0,1.89,595000000.0,189000000.0,3420000.0,1190000.0,3980000.0,1820000.0,10700000.0,4620000000000.0,0.0,W12x152
H_SC_AR_S01_W310x202,W310x202,315.0,340.0,31.8,20.1,15.2,25700.0,202.0,1.87,516000000.0,166000000.0,3050000.0,1050000.0,3510000.0,1610000.0,7700000.0,3950000000000.0,0.0,W12x136
H_SC_AR_S01_W310x179,W310x179,312.0,333.0,28.2,18.0,15.0,22700.0,179.0,1.85,445000000.0,144000000.0,2670000.0,918000.0,3050000.0,1400000.0,5370000.0,3330000000000.0,0.0,W12x120
H_SC_AR_S01_W310x158,W310x158,310.0,328.0,25.1,15.5,15.3,20100.0,158.0,1.84,388000000.0,125000000.0,2380000.0,808000.0,2690000.0,1230000.0,3800000.0,2870000000000.0,0.0,W12x106
H_SC_AR_S01_W310x143,W310x143,310.0,323.0,22.9,14.0,15.2,18200.0,143.0,1.83,347000000.0,112000000.0,2150000.0,728000.0,2410000.0,1110000.0,2850000.0,2530000000000.0,0.0,W12x96
H_SC_AR_S01_W310x129,W310x129,307.0,318.0,20.6,13.1,15.2,16500.0,129.0,1.81,308000000.0,100000000.0,1930000.0,651000.0,2160000.0,990000.0,2120000.0,2220000000000.0,0.0,W12x87
H_SC_AR_S01_W310x117,W310x117,307.0,315.0,18.7,11.9,15.1,15000.0,117.0,1.81,276000000.0,89900000.0,1750000.0,587000.0,1950000.0,890000.0,1600000.0,1970000000000.0,0.0,W12x79
