"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A03AE053-00001,AR,A03,Concrete Work,AE,Mass Concrete Work,053,Steel Casing for CEP,,,,,,,,,,,17,"Including Anchoring, Tar Epoxy Coating, Frame & Accessories, Weldings",,,,,,"Steel Pipe: D(  )mm x THK(  )t x L(  )m, Steel Plate: W(  )mm x L(  )mm x THK(  )t",,,,,,,,M3,M3,A03AE053,A03AE053-00001
A03AE054-00001,AR,A03,Concrete Work,AE,Mass Concrete Work,054,System Form,36,"Heavy Duty Forms, Metal Framed Playwood forms",,,,,,,,,18,"Including Form Tie, All Accessories, Sealing of Form Tie Hole, Separator & Anchor Box out, Chamfer for Exposed Edge, Opening & Sleeve, Shoring, Scaffording, Safety Measures and Shop Drawing",,,,,,,,,,,,,,M3,M3,A03AE054,A03AE054-00001
A03AE055-00001,AR,A03,Concrete Work,AE,Mass Concrete Work,055,System Support,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,A03AE055,A03AE055-00001
A03AF029-00001,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,37,M12,,,,,,,,,,EA,EA,A03AF029,A03AF029-00001
A03AF029-00002,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,38,M16,,,,,,,,,,EA,EA,A03AF029,A03AF029-00002
A03AF029-00003,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,39,M20,,,,,,,,,,EA,EA,A03AF029,A03AF029-00003
A03AF029-00004,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,40,M22,,,,,,,,,,EA,EA,A03AF029,A03AF029-00004
A03AF029-00005,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,41,M24,,,,,,,,,,EA,EA,A03AF029,A03AF029-00005
A03AF029-00006,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,42,M30,,,,,,,,,,EA,EA,A03AF029,A03AF029-00006
A03AF029-00007,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,43,M33,,,,,,,,,,EA,EA,A03AF029,A03AF029-00007
A03AF029-00008,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,44,M36,,,,,,,,,,EA,EA,A03AF029,A03AF029-00008
A03AF029-00009,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,45,M42,,,,,,,,,,EA,EA,A03AF029,A03AF029-00009
A03AF029-00010,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,46,M48,,,,,,,,,,EA,EA,A03AF029,A03AF029-00010
A03AF029-00011,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,47,M52,,,,,,,,,,EA,EA,A03AF029,A03AF029-00011
A03AF029-00012,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,48,M56,,,,,,,,,,EA,EA,A03AF029,A03AF029-00012
A03AF029-00013,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,49,M64,,,,,,,,,,EA,EA,A03AF029,A03AF029-00013
A03AF029-00014,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,50,M72,,,,,,,,,,EA,EA,A03AF029,A03AF029-00014
A03AF029-00015,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,51,M76,,,,,,,,,,EA,EA,A03AF029,A03AF029-00015
A03AF029-00016,AR,A03,Concrete Work,AF,Superstructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,52,Over M76,,,,,,,,,,EA,EA,A03AF029,A03AF029-00016
A03AF030-00001,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,36,M10,,,,,,,,,,EA,EA,A03AF030,A03AF030-00001
A03AF030-00002,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,37,M12,,,,,,,,,,EA,EA,A03AF030,A03AF030-00002
A03AF030-00003,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,38,M16,,,,,,,,,,EA,EA,A03AF030,A03AF030-00003
A03AF030-00004,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,39,M20,,,,,,,,,,EA,EA,A03AF030,A03AF030-00004
A03AF030-00005,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,40,M22,,,,,,,,,,EA,EA,A03AF030,A03AF030-00005
A03AF030-00006,AR,A03,Concrete Work,AF,Superstructure Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,41,M24,,,,,,,,,,EA,EA,A03AF030,A03AF030-00006
A03AF031-00001,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,36,M10,,,,,,,,,,EA,EA,A03AF031,A03AF031-00001
A03AF031-00002,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,37,M12,,,,,,,,,,EA,EA,A03AF031,A03AF031-00002
A03AF031-00003,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,38,M16,,,,,,,,,,EA,EA,A03AF031,A03AF031-00003
A03AF031-00004,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,39,M20,,,,,,,,,,EA,EA,A03AF031,A03AF031-00004
A03AF031-00005,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,40,M22,,,,,,,,,,EA,EA,A03AF031,A03AF031-00005
A03AF031-00006,AR,A03,Concrete Work,AF,Superstructure Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,41,M24,,,,,,,,,,EA,EA,A03AF031,A03AF031-00006
A03AF032-00001,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,01,Cement Type-1,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00001
A03AF032-00002,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,02,Cement Type-2,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00002
A03AF032-00003,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,03,Cement Type-5,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00003
A03AF032-00004,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,01,Cement Type-1,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00004
A03AF032-00005,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,02,Cement Type-2,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00005
A03AF032-00006,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,03,Cement Type-5,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00006
A03AF032-00007,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,01,Cement Type-1,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00007
A03AF032-00008,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,02,Cement Type-2,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00008
A03AF032-00009,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,03,Cement Type-5,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00009
A03AF032-00010,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,01,Cement Type-1,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00010
A03AF032-00011,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,02,Cement Type-2,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00011
A03AF032-00012,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,03,Cement Type-5,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00012
A03AF032-00013,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,01,Cement Type-1,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00013
A03AF032-00014,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,02,Cement Type-2,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00014
A03AF032-00015,AR,A03,Concrete Work,AF,Superstructure Work,032,Structural Concrete,,,03,Cement Type-5,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AF032,A03AF032-00015
A03AF035-00001,AR,A03,Concrete Work,AF,Superstructure Work,035,Form Work (3 times in use),25,Flat Form,,,,,,,,,05,"Dressed Lumber, Plywood or Steel Form(Wood Planks are not Allowed) incl. Chamfer",,,,,,,,,,,,,,M2,M2,A03AF035,A03AF035-00001
A03AF035-00002,AR,A03,Concrete Work,AF,Superstructure Work,035,Form Work (3 times in use),26,Circular Form,,,,,,,,,05,"Dressed Lumber, Plywood or Steel Form(Wood Planks are not Allowed) incl. Chamfer",,,,,,,,,,,,,,M2,M2,A03AF035,A03AF035-00002
A03AF036-00001,AR,A03,Concrete Work,AF,Superstructure Work,036,Form Work (1 time in use),25,Flat Form,,,,,,,,,05,"Dressed Lumber, Plywood or Steel Form(Wood Planks are not Allowed) incl. Chamfer",,,,,,,,,,,,,,M2,M2,A03AF036,A03AF036-00001
A03AF036-00002,AR,A03,Concrete Work,AF,Superstructure Work,036,Form Work (1 time in use),26,Circular Form,,,,,,,,,05,"Dressed Lumber, Plywood or Steel Form(Wood Planks are not Allowed) incl. Chamfer",,,,,,,,,,,,,,M2,M2,A03AF036,A03AF036-00002
A03AF037-00001,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,27,Deformed Bar (Non-Coat.),,,09,Fy>470MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00001
A03AF037-00002,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,27,Deformed Bar (Non-Coat.),,,10,400MPa<Fy≤470MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00002
A03AF037-00003,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,27,Deformed Bar (Non-Coat.),,,11,300MPa<Fy≤400MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00003
A03AF037-00004,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,27,Deformed Bar (Non-Coat.),,,12,Fy≤300MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00004
A03AF037-00005,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,28,Deformed Bar (Epoxy Coat.),,,09,Fy>470MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00005
A03AF037-00006,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,28,Deformed Bar (Epoxy Coat.),,,10,400MPa<Fy≤470MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00006
A03AF037-00007,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,28,Deformed Bar (Epoxy Coat.),,,11,300MPa<Fy≤400MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00007
A03AF037-00008,AR,A03,Concrete Work,AF,Superstructure Work,037,Rebar Work,28,Deformed Bar (Epoxy Coat.),,,12,Fy≤300MPa,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF037,A03AF037-00008
A03AF038-00001,AR,A03,Concrete Work,AF,Superstructure Work,038,Welded Wire Fabric,,,,,,,,,,,,,,,53,DIA≤6mm,,Mesh Size=DIA(  )mm x (  )mm x (  )mm,,,,,,,,M2,M2,A03AF038,A03AF038-00001
A03AF038-00002,AR,A03,Concrete Work,AF,Superstructure Work,038,Welded Wire Fabric,,,,,,,,,,,,,,,54,DIA>6mm,,Mesh Size=DIA(  )mm x (  )mm x (  )mm,,,,,,,,M2,M2,A03AF038,A03AF038-00002
A03AF039-00001,AR,A03,Concrete Work,AF,Superstructure Work,039,Expansion Joint (Exposed Type),,,,,,,,,,,06,"w/ Flexible Joint Filler, Sealant, Dowel Bar w/ PVC Sleeve",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF039,A03AF039-00001
A03AF040-00001,AR,A03,Concrete Work,AF,Superstructure Work,040,Expansion Joint (w/ Aluminum Cover),,,,,,,,,,,07,"w/ Flexible Joint Filler, Sealant, Aluminum Flashing Cover w/ Fixing Accessories",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF040,A03AF040-00001
A03AF041-00001,AR,A03,Concrete Work,AF,Superstructure Work,041,Expansion Joint (w/ Galvanized Steel Cover),,,,,,,,,,,08,"w/ Flexible Joint Filler, Sealant, Galv. Steel Cover w/ Galv. Steel Angle, Fixing Accessories",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF041,A03AF041-00001
A03AF042-00001,AR,A03,Concrete Work,AF,Superstructure Work,042,Expansion Joint (w/ Stainless Steel Cover),,,,,,,,,,,09,"w/ Flexible Joint Filler, Sealant, SST Flashing Cover w/ Fixing Accessories",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF042,A03AF042-00001
A03AF043-00001,AR,A03,Concrete Work,AF,Superstructure Work,043,Expansion Joint (w/ Ready-Made Cover),,,,,,,,,,,10,"w/ Flexible Joint Filler, Sealant, Ready-Made Cover Profile w/ Fixing Accessories",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF043,A03AF043-00001
A03AF044-00001,AR,A03,Concrete Work,AF,Superstructure Work,044,Isolation Joint (Separation Joint),,,,,,,,,,,11,"w/ Flexible Joint Filler, Sealant",,,,,,THK=(  )mm,,,,,,,,M,M,A03AF044,A03AF044-00001
A03AF045-00001,AR,A03,Concrete Work,AF,Superstructure Work,045,Control Joint,,,,,,,,,,,12,"w/ Joint Sealant, Backstop",,,,,,Saw Cut: W(  )mm x D(  )mm,,,,,,,,M,M,A03AF045,A03AF045-00001
A03AF045-00002,AR,A03,Concrete Work,AF,Superstructure Work,045,Control Joint,,,,,,,,,,,13,"w/ Joint Sealant, Backstop, Bottom Crack Inducer",,,,,,Saw Cut: W(  )mm x D(  )mm,,,,,,,,M,M,A03AF045,A03AF045-00002
A03AF046-00001,AR,A03,Concrete Work,AF,Superstructure Work,046,Water Stop,29,PVC Type,,,,,,,,,,,,,,,,W=(  )mm,,,,,,,,M,M,A03AF046,A03AF046-00001
A03AF046-00002,AR,A03,Concrete Work,AF,Superstructure Work,046,Water Stop,30,Stainless Steel Type,,,,,,,,,,,,,,,,W=(  )mm,,,,,,,,M,M,A03AF046,A03AF046-00002
A03AF046-00003,AR,A03,Concrete Work,AF,Superstructure Work,046,Water Stop,31,Expandable Rubber Type,,,,,,,,,,,,,,,,W=(  )mm,,,,,,,,M,M,A03AF046,A03AF046-00003
A03AF049-00001,AR,A03,Concrete Work,AF,Superstructure Work,049,"Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Purchase & Installation)",33,Hot-Dip Galvanized Steel,,,,,,,,,14,Galv.: ASTM A123,,,,,,,,,,,,,,TON,TON,A03AF049,A03AF049-00001
A03AF049-00002,AR,A03,Concrete Work,AF,Superstructure Work,049,"Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Purchase & Installation)",34,SUS,,,,,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF049,A03AF049-00002
A03AF050-00001,AR,A03,Concrete Work,AF,Superstructure Work,050,"Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Installation Only)",33,Hot-Dip Galvanized Steel,,,,,,,,,14,Galv.: ASTM A123,,,,,,,,,,,,,,TON,TON,A03AF050,A03AF050-00001
A03AF050-00002,AR,A03,Concrete Work,AF,Superstructure Work,050,"Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Installation Only)",34,SUS,,,,,,,,,,,,,,,,,,,,,,,,TON,TON,A03AF050,A03AF050-00002
A03AF051-00001,AR,A03,Concrete Work,AF,Superstructure Work,051,Groove Joint,,,,,,,,,,,,,,,,,,Size=(  )mm x (  )mm,,,,,,,,M,M,A03AF051,A03AF051-00001
A03AG029-00001,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,37,M12,,,,,,,,,,EA,EA,A03AG029,A03AG029-00001
A03AG029-00002,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,38,M16,,,,,,,,,,EA,EA,A03AG029,A03AG029-00002
A03AG029-00003,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,39,M20,,,,,,,,,,EA,EA,A03AG029,A03AG029-00003
A03AG029-00004,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,40,M22,,,,,,,,,,EA,EA,A03AG029,A03AG029-00004
A03AG029-00005,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,41,M24,,,,,,,,,,EA,EA,A03AG029,A03AG029-00005
A03AG029-00006,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,42,M30,,,,,,,,,,EA,EA,A03AG029,A03AG029-00006
A03AG029-00007,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,43,M33,,,,,,,,,,EA,EA,A03AG029,A03AG029-00007
A03AG029-00008,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,44,M36,,,,,,,,,,EA,EA,A03AG029,A03AG029-00008
A03AG029-00009,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,45,M42,,,,,,,,,,EA,EA,A03AG029,A03AG029-00009
A03AG029-00010,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,46,M48,,,,,,,,,,EA,EA,A03AG029,A03AG029-00010
A03AG029-00011,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,47,M52,,,,,,,,,,EA,EA,A03AG029,A03AG029-00011
A03AG029-00012,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,48,M56,,,,,,,,,,EA,EA,A03AG029,A03AG029-00012
A03AG029-00013,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,49,M64,,,,,,,,,,EA,EA,A03AG029,A03AG029-00013
A03AG029-00014,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,50,M72,,,,,,,,,,EA,EA,A03AG029,A03AG029-00014
A03AG029-00015,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,51,M76,,,,,,,,,,EA,EA,A03AG029,A03AG029-00015
A03AG029-00016,AR,A03,Concrete Work,AG,Equipment Foundation Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,52,Over M76,,,,,,,,,,EA,EA,A03AG029,A03AG029-00016
A03AG030-00001,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,36,M10,,,,,,,,,,EA,EA,A03AG030,A03AG030-00001
A03AG030-00002,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,37,M12,,,,,,,,,,EA,EA,A03AG030,A03AG030-00002
A03AG030-00003,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,38,M16,,,,,,,,,,EA,EA,A03AG030,A03AG030-00003
A03AG030-00004,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,39,M20,,,,,,,,,,EA,EA,A03AG030,A03AG030-00004
A03AG030-00005,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,40,M22,,,,,,,,,,EA,EA,A03AG030,A03AG030-00005
A03AG030-00006,AR,A03,Concrete Work,AG,Equipment Foundation Work,030,Chemical Anchor Bolt,,,,,,,,,,,04,Including injected Chemical material,,,41,M24,,,,,,,,,,EA,EA,A03AG030,A03AG030-00006
A03AG031-00001,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,36,M10,,,,,,,,,,EA,EA,A03AG031,A03AG031-00001
A03AG031-00002,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,37,M12,,,,,,,,,,EA,EA,A03AG031,A03AG031-00002
A03AG031-00003,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,38,M16,,,,,,,,,,EA,EA,A03AG031,A03AG031-00003
A03AG031-00004,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,39,M20,,,,,,,,,,EA,EA,A03AG031,A03AG031-00004
A03AG031-00005,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,40,M22,,,,,,,,,,EA,EA,A03AG031,A03AG031-00005
A03AG031-00006,AR,A03,Concrete Work,AG,Equipment Foundation Work,031,Expansion Anchor Bolt,,,,,,,,,,,,,,,41,M24,,,,,,,,,,EA,EA,A03AG031,A03AG031-00006
A03AG032-00001,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,01,Cement Type-1,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00001
A03AG032-00002,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,02,Cement Type-2,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00002
A03AG032-00003,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,03,Cement Type-5,01,F'c (Cylinder Strength) > 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00003
A03AG032-00004,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,01,Cement Type-1,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00004
A03AG032-00005,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,02,Cement Type-2,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00005
A03AG032-00006,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,03,Cement Type-5,02,30MPa < F'c (Cylinder Strength) ≤ 35MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00006
A03AG032-00007,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,01,Cement Type-1,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00007
A03AG032-00008,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,02,Cement Type-2,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00008
A03AG032-00009,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,03,Cement Type-5,03,25MPa < F'c (Cylinder Strength) ≤ 30MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00009
A03AG032-00010,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,01,Cement Type-1,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00010
A03AG032-00011,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,02,Cement Type-2,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00011
A03AG032-00012,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,03,Cement Type-5,04,20MPa < F'c (Cylinder Strength) ≤ 25MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00012
A03AG032-00013,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,01,Cement Type-1,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00013
A03AG032-00014,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,02,Cement Type-2,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00014
A03AG032-00015,AR,A03,Concrete Work,AG,Equipment Foundation Work,032,Structural Concrete,,,03,Cement Type-5,05,F'c (Cylinder Strength) ≤ 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG032,A03AG032-00015
A03AG034-00001,AR,A03,Concrete Work,AG,Equipment Foundation Work,034,Lean Concrete (including Form work),,,01,Cement Type-1,06,F'c (Cylinder Strength) > 20MPa,,,,,,,,,,,,,,,,,,,,M3,M3,A03AG034,A03AG034-00001
