"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A01ZZ006-00003,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,07,250mm<THK≤350mm,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00003
A01ZZ006-00004,AR,A01,Earth Work,ZZ,-,006,Subbase Course,,,,,,,,,,,01,Including Compaction of Sub-Grade,,,08,350mm<THK,,THK=(  )mm,,,"CBR=(  )% for Subgrade, (  )% for Subbase","Compaction=(  )% for Subgrade, (  )% for Subbase",,,,M2,M2,A01ZZ006,A01ZZ006-00004
A01ZZ007-00001,AR,A01,Earth Work,ZZ,-,007,Fill Material (only for Module Base Frame),,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,A01ZZ007,A01ZZ007-00001
A01ZZ008-00001,AR,A01,Earth Work,ZZ,-,008,Gravel,,,,,,,,,,,,,,,,,,DIA=(  )mm~(  )mm or Max DIA=(  )mm,,,,,,,,M3,M3,A01ZZ008,A01ZZ008-00001
A01ZZ009-00001,AR,A01,Earth Work,ZZ,-,009,Crushed Stone,,,,,,,,,,,,,,,,,,DIA=(  )mm~(  )mm or Max DIA=(  )mm,,,,,,,,M3,M3,A01ZZ009,A01ZZ009-00001
A01ZZ010-00001,AR,A01,Earth Work,ZZ,-,010,Clean Sand for Cable Trench or UG Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,A01ZZ010,A01ZZ010-00001
A01ZZ011-00001,AR,A01,Earth Work,ZZ,-,011,Anti Termite Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,A01ZZ011,A01ZZ011-00001
A01ZZ012-00001,AR,A01,Earth Work,ZZ,-,012,PE Sheet (Vapor Barrier),,,,,,,,,,,,,,,,,,THK=(  )mm,,,,,,,,M2,M2,A01ZZ012,A01ZZ012-00001
A01ZZ013-00001,AR,A01,Earth Work,ZZ,-,013,Sheet Pile,,,,,,,,,,,02,"To Comply with ASTM A 328, Including Dewatering",,,,,,H=(  )m,,,,,,,,M2,M2,A01ZZ013,A01ZZ013-00001
A02AA014-00001,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00001
A02AA014-00002,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00002
A02AA014-00003,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00003
A02AA014-00004,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00004
A02AA014-00005,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00005
A02AA014-00006,AR,A02,Pile Work,AA,Piling Work,014,Reinforced Concrete Pile (Round Type),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA014,A02AA014-00006
A02AA015-00001,AR,A02,Pile Work,AA,Piling Work,015,Reinforced Concrete Pile (Square Type),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,Size=(  )mm x (  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA015,A02AA015-00001
A02AA015-00002,AR,A02,Pile Work,AA,Piling Work,015,Reinforced Concrete Pile (Square Type),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,Size=(  )mm x (  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA015,A02AA015-00002
A02AA015-00003,AR,A02,Pile Work,AA,Piling Work,015,Reinforced Concrete Pile (Square Type),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,Size=(  )mm x (  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA015,A02AA015-00003
A02AA016-00001,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00001
A02AA016-00002,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00002
A02AA016-00003,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00003
A02AA016-00004,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00004
A02AA016-00005,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00005
A02AA016-00006,AR,A02,Pile Work,AA,Piling Work,016,Pretensioned Concrete Pile (Type-A),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA016,A02AA016-00006
A02AA017-00001,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00001
A02AA017-00002,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00002
A02AA017-00003,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00003
A02AA017-00004,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00004
A02AA017-00005,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00005
A02AA017-00006,AR,A02,Pile Work,AA,Piling Work,017,Pretensioned Concrete Pile (Type-B),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA017,A02AA017-00006
A02AA018-00001,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00001
A02AA018-00002,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00002
A02AA018-00003,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00003
A02AA018-00004,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00004
A02AA018-00005,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00005
A02AA018-00006,AR,A02,Pile Work,AA,Piling Work,018,Pretensioned High-strength Concrete Pile (Type-A),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA018,A02AA018-00006
A02AA019-00001,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00001
A02AA019-00002,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),12,Driving After Predrilling,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00002
A02AA019-00003,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),13,Jacking,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00003
A02AA019-00004,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),14,Soil Cement Injected Precast(S.I.P) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00004
A02AA019-00005,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),15,Double Rod Auger(D.R.A),,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00005
A02AA019-00006,AR,A02,Pile Work,AA,Piling Work,019,Pretensioned High-strength Concrete Pile (Type-B),16,Percussion Rotary Drill(P.R.D) Pile Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA019,A02AA019-00006
A02AA020-00001,AR,A02,Pile Work,AA,Piling Work,020,Steel Pipe Pile Work,11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,D=(  )mm / THK=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA020,A02AA020-00001
A02AA021-00001,AR,A02,Pile Work,AA,Piling Work,021,H-Pile Work,11,Direct Driving,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA021,A02AA021-00001
A02AA022-00001,AR,A02,Pile Work,AA,Piling Work,022,Micro Pile Work,,,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA022,A02AA022-00001
A02AA023-00001,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,18,R.C.D Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00001
A02AA023-00002,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,19,Beneto Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00002
A02AA023-00003,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,20,Earth Drill Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00003
A02AA023-00004,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,21,C.I.P Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00004
A02AA023-00005,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,22,M.I.P Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00005
A02AA023-00006,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,23,P.I.P Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00006
A02AA023-00007,AR,A02,Pile Work,AA,Piling Work,023,Cast-In-Place Pile Work,24,J.S.P Method,,,,,,,,,03,Including Pile Connection and Joint Welding Work,,,,,,DIA=(  )mm,Pile Length per Hole=(  )M,,,,,,,M,M,A02AA023,A02AA023-00007
A02AB014-00001,AR,A02,Pile Work,AB,Pile Head Treatment,014,Reinforced Concrete Pile (Round Type),,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB014,A02AB014-00001
