,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_CT-175x175x7x11,175.0,175.0,11.0,7.0,14.0,87.5,3157.0,24.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-168x249x8x12,249.0,168.0,12.0,8.0,20.0,84.0,4408.0,34.6,0.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-170x250x9x14,250.0,170.0,14.0,9.0,20.0,85.0,5076.0,39.8,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-172x348x10x16,348.0,172.0,16.0,10.0,20.0,86.0,7300.0,57.3,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-172x354x16x16,354.0,172.0,16.0,16.0,20.0,86.0,8332.0,65.4,1.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-175x350x12x19,350.0,175.0,19.0,12.0,20.0,87.5,8694.0,68.2,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-175x357x19x19,357.0,175.0,19.0,19.0,20.0,87.5,9919.0,77.9,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-169x351x13x13,351.0,169.0,13.0,13.0,20.0,84.5,6763.0,53.1,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-198x199x7x11,199.0,198.0,11.0,7.0,16.0,99.0,3608.0,28.3,0.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-200x200x8x13,200.0,200.0,13.0,8.0,16.0,100.0,4206.0,33.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
