,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT500x136,300.0,495.0,30.5,16.5,30.0,369.0,17200.0,136.0,398000000.0,68700000.0,1080000.0,459000.0,1920000.0,721000.0,4020000.0,19100000000.0,190.5,WT20X91.5
H_SB_WT500x124.5,300.0,490.0,26.2,16.5,29.9,358.0,15800.0,125.0,374000000.0,58700000.0,1040000.0,392000.0,1880000.0,619000.0,2910000.0,16900000000.0,190.5,WT20X83.5
H_SB_WT500x111,300.0,485.0,21.1,16.0,30.0,347.0,14100.0,111.0,339000000.0,47500000.0,978000.0,318000.0,1770000.0,506000.0,1940000.0,13900000000.0,190.5,WT20X74.5
H_SB_WT460x485,447.0,521.0,89.9,50.0,24.1,385.0,62100.0,485.0,1320000000.0,670000000.0,3410000.0,3020000.0,6280000.0,4750000.0,123000000.0,824000000000.0,190.5,WT18X326
H_SB_WT460x393.5,437.0,505.0,73.9,40.9,24.1,379.0,50200.0,394.0,1020000000.0,516000000.0,2690000.0,2380000.0,4880000.0,3720000.0,67800000.0,430000000000.0,190.5,WT18X264.5
H_SB_WT460x362.5,434.0,500.0,68.1,38.1,24.1,377.0,46300.0,362.0,924000000.0,466000000.0,2460000.0,2150000.0,4460000.0,3380000.0,53300000.0,336000000000.0,190.5,WT18X243.5
H_SB_WT460x328,432.0,493.0,62.0,34.5,24.1,374.0,41900.0,328.0,824000000.0,415000000.0,2200000.0,1920000.0,3970000.0,3020000.0,40200000.0,245000000000.0,190.5,WT18X220.5
H_SB_WT460x294,427.0,488.0,55.9,31.0,24.1,373.0,37500.0,294.0,724000000.0,365000000.0,1950000.0,1700000.0,3490000.0,2650000.0,29400000.0,175000000000.0,190.5,WT18X197.5
H_SB_WT460x268.5,424.0,483.0,51.1,28.4,24.1,371.0,34200.0,268.0,653000000.0,327000000.0,1750000.0,1540000.0,3150000.0,2390000.0,22500000.0,132000000000.0,190.5,WT18X180.5
H_SB_WT460x245.5,422.0,478.0,47.0,25.9,24.1,369.0,31200.0,246.0,587000000.0,296000000.0,1590000.0,1400000.0,2830000.0,2160000.0,17500000.0,99900000000.0,190.5,WT18X165
H_SB_WT460x224.5,424.0,475.0,42.7,24.0,24.1,368.0,28700.0,224.0,533000000.0,270000000.0,1460000.0,1270000.0,2590000.0,1970000.0,13400000.0,76500000000.0,190.5,WT18X151
H_SB_WT460x210,422.0,472.0,39.9,22.5,24.1,366.0,26800.0,210.0,495000000.0,249000000.0,1350000.0,1180000.0,2390000.0,1840000.0,10900000.0,62000000000.0,190.5,WT18X141
H_SB_WT460x195,422.0,467.0,36.6,21.3,24.1,362.0,24800.0,195.0,462000000.0,227000000.0,1270000.0,1080000.0,2250000.0,1670000.0,8660000.0,49700000000.0,190.5,WT18X131
H_SB_WT460x184,419.0,465.0,34.3,20.3,24.1,360.0,23400.0,184.0,433000000.0,211000000.0,1200000.0,1010000.0,2110000.0,1550000.0,7200000.0,41600000000.0,190.5,WT18X123.5
H_SB_WT460x171.9,419.0,464.0,32.0,19.3,24.1,360.0,22000.0,172.0,407000000.0,196000000.0,1130000.0,934000.0,2000000.0,1440000.0,5950000.0,34600000000.0,190.5,WT18X115.5
H_SB_WT460x190.5,310.0,475.0,43.9,24.4,19.1,350.0,24300.0,190.0,504000000.0,110000000.0,1430000.0,708000.0,2560000.0,1120000.0,11000000.0,55000000000.0,139.7,WT18X128
H_SB_WT460x172.5,307.0,472.0,39.9,22.1,19.0,350.0,21900.0,172.0,450000000.0,97400000.0,1290000.0,633000.0,2290000.0,998000.0,8200000.0,40500000000.0,139.7,WT18X116
H_SB_WT460x156.5,310.0,465.0,34.5,21.1,19.1,341.0,19900.0,156.0,410000000.0,85700000.0,1200000.0,554000.0,2150000.0,875000.0,5790000.0,32000000000.0,139.7,WT18X105
H_SB_WT460x144.5,307.0,462.0,32.0,19.4,19.1,340.0,18400.0,144.0,375000000.0,77800000.0,1100000.0,506000.0,1970000.0,800000.0,4620000.0,24900000000.0,139.7,WT18X97
H_SB_WT460x135.5,307.0,462.0,30.0,18.4,19.0,341.0,17300.0,136.0,352000000.0,72400000.0,1030000.0,472000.0,1850000.0,742000.0,3830000.0,20800000000.0,139.7,WT18X91
H_SB_WT460x126.5,305.0,460.0,27.9,17.3,19.1,340.0,16100.0,126.0,327000000.0,66600000.0,965000.0,436000.0,1720000.0,685000.0,3130000.0,17000000000.0,139.7,WT18X85
H_SB_WT460x119,305.0,457.0,25.9,16.5,19.1,337.0,15200.0,119.0,308000000.0,61200000.0,914000.0,403000.0,1640000.0,633000.0,2570000.0,14400000000.0,139.7,WT18X80
H_SB_WT460x111.5,305.0,455.0,23.9,15.9,19.0,334.0,14300.0,112.0,291000000.0,56200000.0,870000.0,369000.0,1560000.0,580000.0,2100000.0,12400000000.0,139.7,WT18X75
H_SB_WT460x100.5,305.0,452.0,20.1,15.2,19.0,326.0,12800.0,100.0,265000000.0,47000000.0,814000.0,310000.0,1480000.0,488000.0,1450000.0,10000000000.0,139.7,WT18X67.5
H_SB_WT420x288,411.0,457.0,57.9,32.0,20.1,349.0,36800.0,288.0,608000000.0,337000000.0,1750000.0,1640000.0,3160000.0,2560000.0,30800000.0,165000000000.0,139.7,WT16.5X193.5
H_SB_WT420x263.5,409.0,452.0,53.1,29.5,20.1,347.0,33600.0,264.0,549000000.0,303000000.0,1590000.0,1480000.0,2850000.0,2310000.0,23800000.0,126000000000.0,139.7,WT16.5X177
H_SB_WT420x236.5,406.0,447.0,48.0,26.4,20.1,345.0,30200.0,237.0,483000000.0,268000000.0,1410000.0,1320000.0,2520000.0,2050000.0,17500000.0,90000000000.0,139.7,WT16.5X159
H_SB_WT420x216.5,404.0,442.0,43.9,24.4,20.1,342.2,27600.0,216.0,441000000.0,242000000.0,1280000.0,1200000.0,2290000.0,1850000.0,13500000.0,68700000000.0,139.7,WT16.5X145.5
H_SB_WT420x196,401.0,439.0,39.9,22.1,20.0,341.7,25000.0,196.0,393000000.0,215000000.0,1150000.0,1070000.0,2050000.0,1660000.0,10100000.0,50500000000.0,139.7,WT16.5X131.5
H_SB_WT420x179.5,404.0,434.0,35.6,21.1,20.0,336.5,23000.0,180.0,363000000.0,194000000.0,1080000.0,964000.0,1900000.0,1490000.0,7490000.0,39200000000.0,139.7,WT16.5X120.5
H_SB_WT420x164.5,401.0,432.0,32.5,19.7,19.8,335.2,21000.0,164.0,333000000.0,175000000.0,996000.0,872000.0,1750000.0,1350000.0,5790000.0,30300000000.0,139.7,WT16.5X110.5
H_SB_WT420x149.5,399.0,427.0,29.2,18.2,20.1,331.2,19200.0,150.0,302000000.0,156000000.0,909000.0,780000.0,1600000.0,1200000.0,4330000.0,22800000000.0,139.7,WT16.5X100.5
H_SB_WT420x125.5,292.0,429.0,31.0,17.0,17.8,322.0,15900.0,125.0,270000000.0,64500000.0,837000.0,442000.0,1490000.0,690000.0,3670000.0,14900000000.0,139.7,WT16.5X84.5
H_SB_WT420x113,295.0,424.0,26.9,16.1,17.8,316.0,14500.0,113.0,246000000.0,56600000.0,777000.0,387000.0,1380000.0,605000.0,2560000.0,11500000000.0,139.7,WT16.5X76
H_SB_WT420x105,292.0,424.0,24.4,15.4,17.8,315.0,13400.0,105.0,230000000.0,51200000.0,733000.0,349000.0,1310000.0,547000.0,2010000.0,9510000000.0,139.7,WT16.5X70.5
H_SB_WT420x96.5,292.0,419.0,21.7,14.7,17.9,308.0,12300.0,96.5,214000000.0,45400000.0,690000.0,310000.0,1240000.0,487000.0,1530000.0,7870000000.0,139.7,WT16.5X65
