,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT155x11.9,101.0,152.0,6.73,5.59,7.67,107.8,1520.0,11.9,3620000.0,587000.0,33400.0,11600.0,61000.0,18500.0,21300.0,18200000.0,57.15,WT6X8
H_SB_WT155x10.5,101.0,151.0,5.72,5.08,7.58,106.3,1340.0,10.5,3190000.0,491000.0,30000.0,9720.0,54400.0,15500.0,14600.0,13200000.0,57.15,WT6X7
H_SB_WT125x83.5,264.0,144.0,31.8,19.2,12.7,113.3,10600.0,83.5,11900000.0,49100000.0,105000.0,370000.0,220000.0,567000.0,3120000.0,4540000000.0,139.7,WT5X56
H_SB_WT125x74.5,262.0,141.0,28.4,17.3,12.7,112.3,9480.0,74.5,10200000.0,42900000.0,91100.0,328000.0,187000.0,500000.0,2250000.0,3200000000.0,139.7,WT5X50
H_SB_WT125x65.5,262.0,138.0,25.1,15.4,12.7,111.1,8390.0,65.5,8660000.0,37200000.0,78200.0,285000.0,158000.0,434000.0,1560000.0,2150000000.0,139.7,WT5X44
H_SB_WT125x57.5,259.0,135.0,22.1,13.5,12.7,109.9,7290.0,57.5,7240000.0,32000000.0,66400.0,247000.0,132000.0,375000.0,1060000.0,1430000000.0,139.7,WT5X38.5
H_SB_WT125x50.5,257.0,132.0,19.6,11.9,12.7,108.3,6450.0,50.5,6200000.0,27800000.0,57200.0,216000.0,112000.0,328000.0,741000.0,972000000.0,139.7,WT5X34
H_SB_WT125x44.5,257.0,130.0,17.3,10.7,12.7,107.5,5700.0,44.5,5370000.0,24200000.0,49800.0,188000.0,96200.0,287000.0,512000.0,661000000.0,139.7,WT5X30
H_SB_WT125x40,254.0,128.0,15.6,9.4,12.8,106.8,5100.0,40.0,4620000.0,21500000.0,43300.0,169000.0,82800.0,256000.0,378000.0,478000000.0,139.7,WT5X27
H_SB_WT125x36.5,254.0,127.0,14.2,8.64,12.7,106.5,4650.0,36.5,4160000.0,19400000.0,39200.0,153000.0,74100.0,231000.0,288000.0,357000000.0,139.7,WT5X24.5
H_SB_WT125x33.5,204.0,128.0,15.7,8.89,12.7,105.0,4280.0,33.5,4250000.0,11100000.0,40500.0,109000.0,76200.0,166000.0,313000.0,263000000.0,139.7,WT5X22.5
H_SB_WT125x29,203.0,126.0,13.5,8.0,12.7,103.7,3700.0,29.0,3680000.0,9370000.0,35400.0,92400.0,65400.0,140000.0,203000.0,165000000.0,139.7,WT5X19.5
H_SB_WT125x24.55,202.0,124.0,11.0,7.37,12.7,101.9,3130.0,24.6,3210000.0,7620000.0,31600.0,75400.0,57000.0,115000.0,121000.0,95600000.0,139.7,WT5X16.5
H_SB_WT125x22.4,148.0,133.0,13.0,7.62,7.6,105.1,2850.0,22.4,3860000.0,3480000.0,36700.0,47000.0,65700.0,72300.0,129000.0,73300000.0,69.85,WT5X15
H_SB_WT125x19.25,147.0,131.0,11.2,6.6,7.6,104.1,2460.0,19.3,3270000.0,2930000.0,31300.0,40000.0,55600.0,61500.0,83700.0,46500000.0,69.85,WT5X13
H_SB_WT125x16.35,146.0,129.0,9.14,6.1,7.66,101.8,2090.0,16.4,2860000.0,2380000.0,28200.0,32600.0,49500.0,50000.0,49500.0,28700000.0,69.85,WT5X11
H_SB_WT125x14.2,102.0,130.0,10.0,6.35,7.7,97.5,1810.0,14.2,2780000.0,895000.0,28500.0,17500.0,50800.0,27400.0,48300.0,21400000.0,57.15,WT5X9.5
H_SB_WT125x12.65,102.0,129.0,8.38,6.1,7.62,95.5,1610.0,12.7,2520000.0,741000.0,26500.0,14500.0,47500.0,22900.0,32300.0,16400000.0,57.15,WT5X8.5
H_SB_WT125x11.15,102.0,127.0,6.86,5.84,7.64,92.2,1430.0,11.2,2270000.0,604000.0,24600.0,11800.0,44400.0,18800.0,21600.0,12800000.0,57.15,WT5X7.5
H_SB_WT125x8.95,101.0,125.0,5.33,4.83,7.67,90.5,1140.0,8.95,1810000.0,454000.0,20000.0,9030.0,36100.0,14200.0,11300.0,6850000.0,57.15,WT5X6
H_SB_WT100x50,210.0,114.0,23.7,14.5,10.1,90.2,6350.0,50.0,4540000.0,18400000.0,50000.0,175000.0,103000.0,267000.0,1040000.0,956000000.0,139.7,WT4X33.5
H_SB_WT100x43,209.0,111.0,20.6,13.0,9.9,88.8,5510.0,43.0,3800000.0,15600000.0,42800.0,150000.0,86000.0,228000.0,691000.0,612000000.0,139.7,WT4X29
H_SB_WT100x35.5,206.0,108.0,17.4,10.2,10.0,88.3,4550.0,35.5,2850000.0,12700000.0,32300.0,123000.0,64600.0,187000.0,407000.0,349000000.0,139.7,WT4X24
H_SB_WT100x29.5,205.0,105.0,14.2,9.14,10.0,86.3,3790.0,29.5,2390000.0,10200000.0,27700.0,99600.0,53300.0,151000.0,232000.0,192000000.0,139.7,WT4X20
H_SB_WT100x26,204.0,103.0,12.6,7.87,10.0,85.5,3320.0,26.0,2010000.0,8870000.0,23400.0,87000.0,44400.0,132000.0,160000.0,129000000.0,139.7,WT4X17.5
H_SB_WT100x23.05,203.0,102.0,11.0,7.24,10.1,85.0,2940.0,23.1,1780000.0,7700000.0,21000.0,76000.0,39200.0,115000.0,111000.0,87800000.0,139.7,WT4X15.5
H_SB_WT100x20.85,166.0,102.0,11.8,7.24,10.0,83.4,2660.0,20.9,1760000.0,4500000.0,21000.0,54200.0,39000.0,82600.0,112000.0,61800000.0,88.9,WT4X14
H_SB_WT100x17.95,165.0,101.0,10.2,6.22,10.0,83.3,2280.0,18.0,1470000.0,3800000.0,17700.0,46000.0,32400.0,70100.0,72000.0,38700000.0,88.9,WT4X12
H_SB_WT100x15.65,134.0,105.0,10.2,6.35,7.6,83.9,1990.0,15.7,1620000.0,2030000.0,19300.0,30300.0,34600.0,46500.0,58700.0,24600000.0,69.85,WT4X10.5
H_SB_WT100x13.3,133.0,103.0,8.38,5.84,7.62,81.8,1700.0,13.3,1420000.0,1660000.0,17200.0,24900.0,30500.0,38200.0,35600.0,15100000.0,69.85,WT4X9
H_SB_WT100x11.25,102.0,103.0,8.0,6.22,7.6,77.7,1430.0,11.3,1370000.0,708000.0,17500.0,13900.0,31300.0,21800.0,28300.0,10300000.0,57.15,WT4X7.5
H_SB_WT100x9.65,102.0,102.0,6.48,5.84,7.62,75.8,1240.0,9.65,1200000.0,566000.0,16000.0,11200.0,28500.0,17500.0,18000.0,7220000.0,57.15,WT4X6.5
H_SB_WT100x7.5,100.0,100.0,5.21,4.32,7.59,75.8,955.0,7.5,895000.0,437000.0,11700.0,8700.0,20800.0,13500.0,8820.0,3060000.0,57.15,WT4X5
H_SB_WT75x18.55,154.0,81.0,11.6,8.13,6.3,65.5,2370.0,18.6,953000.0,3550000.0,14500.0,46000.0,27500.0,70100.0,95300.0,45900000.0,88.9,WT3X12.5
H_SB_WT75x14.9,153.0,78.7,9.27,6.6,6.33,64.5,1900.0,14.9,733000.0,2760000.0,11400.0,36200.0,21100.0,55100.0,49900.0,23000000.0,88.9,WT3X10
H_SB_WT75x11.25,152.0,76.2,6.6,5.84,6.4,62.0,1430.0,11.3,587000.0,1940000.0,9460.0,25600.0,16900.0,38800.0,21000.0,9180000.0,88.9,WT3X7.5
H_SB_WT75x12,102.0,79.8,10.3,6.6,6.3,62.6,1530.0,12.0,703000.0,920000.0,11200.0,18000.0,20500.0,27700.0,46200.0,11400000.0,57.15,WT3X8
H_SB_WT75x9,102.0,76.7,7.11,5.84,6.39,59.5,1150.0,9.0,549000.0,624000.0,9240.0,12300.0,16600.0,19000.0,18700.0,4780000.0,57.15,WT3X6
H_SB_WT75x6.75,100.0,74.9,5.46,4.32,6.34,59.1,865.0,6.75,395000.0,458000.0,6690.0,9130.0,11800.0,14000.0,8410.0,1980000.0,57.15,WT3X4.5
H_SB_WT75x6.5,100.0,74.2,4.95,4.32,6.35,58.0,813.0,6.5,377000.0,414000.0,6510.0,8280.0,11500.0,12700.0,6910.0,1660000.0,57.15,WT3X4.25
H_SB_WT65x14.05,128.0,65.5,10.9,6.86,7.6,53.1,1790.0,14.1,420000.0,1900000.0,7950.0,29700.0,15900.0,45200.0,65300.0,20800000.0,69.85,WT2.5X9.5
H_SB_WT65x11.9,127.0,63.8,9.14,6.1,7.66,52.2,1520.0,11.9,352000.0,1560000.0,6770.0,24600.0,13100.0,37400.0,39900.0,12200000.0,69.85,WT2.5X8
H_SB_WT50x9.65,103.0,52.8,8.76,7.11,6.34,41.6,1230.0,9.65,219000.0,803000.0,5260.0,15600.0,10100.0,23900.0,31200.0,6260000.0,57.15,WT2X6.5
