,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-248x249x8x13,249.0,8.0,16.0,462000000000.0,404809.0,"Steel, 45-345",8470.0,408000.0,883000.0,1.45,66.5,33500000.0,99300000.0,248.0,13.0,269000.0,801000.0,124.0,124.5,,99300000.0,1524.0,883000.0,249.0,248.0,16.0,8.0,13.0,8470.0
H_SB_H-250x250x9x14,250.0,9.0,16.0,508000000000.0,514681.0,"Steel, 45-345",9218.0,444000.0,960000.0,1.46,72.4,36500000.0,108000000.0,250.0,14.0,292000.0,867000.0,125.0,125.0,,108000000.0,1524.0,960000.0,250.0,250.0,16.0,9.0,14.0,9218.0
H_SB_H-250x255x14x14,255.0,14.0,16.0,539000000000.0,682341.0,"Steel, 45-345",10470.0,468000.0,1040000.0,1.47,82.2,38800000.0,115000000.0,250.0,14.0,304000.0,919000.0,125.0,127.5,,115000000.0,1524.0,1040000.0,255.0,250.0,16.0,14.0,14.0,10470.0
H_SB_H-298x149x5.5x8,149.0,5.5,13.0,92732836967.0,66942.0,"Steel, 45-345",4080.0,91800.0,475000.0,1.16,32.0,4420000.0,63200000.0,298.0,8.0,59300.0,424000.0,149.0,74.5,,63200000.0,1524.0,475000.0,149.0,298.0,13.0,5.5,8.0,4080.0
H_SB_H-300x150x6.5x9,150.0,6.5,13.0,107000000000.0,99539.0,"Steel, 45-345",4678.0,105000.0,542000.0,1.17,36.7,5080000.0,72100000.0,300.0,9.0,67700.0,481000.0,150.0,75.0,,72100000.0,1524.0,542000.0,150.0,300.0,13.0,6.5,9.0,4678.0
H_SB_H-294x200x8x12,200.0,8.0,18.0,318000000000.0,278528.0,"Steel, 45-345",7238.0,247000.0,859000.0,1.34,56.8,16000000.0,113000000.0,294.0,12.0,160000.0,771000.0,147.0,100.0,,113000000.0,1524.0,859000.0,200.0,294.0,18.0,8.0,12.0,7238.0
H_SB_H-298x201x9x14,201.0,9.0,18.0,382000000000.0,436708.0,"Steel, 45-345",8336.0,291000.0,1000000.0,1.35,65.4,19000000.0,133000000.0,298.0,14.0,189000.0,893000.0,149.0,100.5,,133000000.0,1524.0,1000000.0,201.0,298.0,18.0,9.0,14.0,8336.0
H_SB_H-294x302x12x12,302.0,12.0,18.0,1100000000000.0,510336.0,"Steel, 45-345",10770.0,560000.0,1280000.0,1.74,84.5,55200000.0,169000000.0,294.0,12.0,365000.0,1150000.0,147.0,151.0,,169000000.0,1524.0,1280000.0,302.0,294.0,18.0,12.0,12.0,10770.0
H_SB_H-298x299x9x14,299.0,9.0,18.0,1260000000000.0,615983.0,"Steel, 45-345",11080.0,634000.0,1389000.0,1.74,87.0,62400000.0,188000000.0,298.0,14.0,417000.0,1270000.0,149.0,149.5,,188000000.0,1524.0,1389000.0,299.0,298.0,18.0,9.0,14.0,11080.0
H_SB_H-300x300x10x15,300.0,10.0,18.0,1370000000000.0,770000.0,"Steel, 45-345",11980.0,684000.0,1500000.0,1.75,94.0,67500000.0,204000000.0,300.0,15.0,450000.0,1360000.0,150.0,150.0,,204000000.0,1524.0,1500000.0,300.0,300.0,18.0,10.0,15.0,11980.0
H_SB_H-300x305x15x15,305.0,15.0,18.0,1440000000000.0,1006875.0,"Steel, 45-345",13480.0,716000.0,1610000.0,1.76,106.0,71000000.0,215000000.0,300.0,15.0,466000.0,1440000.0,150.0,152.5,,215000000.0,1524.0,1610000.0,305.0,300.0,18.0,15.0,15.0,13480.0
H_SB_H-304x301x11x17,301.0,11.0,18.0,1590000000000.0,1113208.0,"Steel, 45-345",13480.0,781000.0,1705000.0,1.76,106.0,77300000.0,234000000.0,304.0,17.0,514000.0,1540000.0,152.0,150.5,,234000000.0,1524.0,1705000.0,301.0,304.0,18.0,11.0,17.0,13480.0
H_SB_H-310x305x15x20,305.0,15.0,18.0,1990000000000.0,1952917.0,"Steel, 45-345",16530.0,949000.0,2079000.0,1.78,130.0,94600000.0,282000000.0,310.0,20.0,620000.0,1810000.0,155.0,152.5,,282000000.0,1524.0,2079000.0,305.0,310.0,18.0,15.0,20.0,16530.0
H_SB_H-310x310x20x20,310.0,20.0,18.0,2090000000000.0,2426667.0,"Steel, 45-345",18080.0,992000.0,2199000.0,1.79,142.0,99400000.0,294000000.0,310.0,20.0,642000.0,1890000.0,155.0,155.0,,294000000.0,1524.0,2199000.0,310.0,310.0,18.0,20.0,20.0,18080.0
H_SB_H-346x174x6x9,174.0,6.0,14.0,224000000000.0,108828.0,"Steel, 45-345",5268.0,140000.0,716000.0,1.35,41.4,7920000.0,111000000.0,346.0,9.0,91000.0,641000.0,173.0,87.0,,111000000.0,1524.0,716000.0,174.0,346.0,14.0,6.0,9.0,5268.0
H_SB_H-350x175x7x11,175.0,7.0,14.0,282000000000.0,194042.0,"Steel, 45-345",6314.0,174000.0,868000.0,1.36,49.6,9840000.0,136000000.0,350.0,11.0,112000.0,775000.0,175.0,87.5,,136000000.0,1524.0,868000.0,175.0,350.0,14.0,7.0,11.0,6314.0
H_SB_H-354x176x8x13,176.0,8.0,14.0,343000000000.0,315979.0,"Steel, 45-345",7368.0,208000.0,1022000.0,1.37,57.8,11800000.0,161000000.0,354.0,13.0,134000.0,909000.0,177.0,88.0,,161000000.0,1524.0,1022000.0,176.0,354.0,14.0,8.0,13.0,7368.0
H_SB_H-336x249x8x12,249.0,8.0,20.0,810000000000.0,342144.0,"Steel, 45-345",8815.0,380000.0,1215000.0,1.62,69.2,30900000.0,185000000.0,336.0,12.0,248000.0,1100000.0,168.0,124.5,,185000000.0,1524.0,1215000.0,249.0,336.0,20.0,8.0,12.0,8815.0
H_SB_H-340x250x9x14,250.0,9.0,20.0,969000000000.0,536551.0,"Steel, 45-345",10150.0,447000.0,1410000.0,1.63,79.7,36500000.0,217000000.0,340.0,14.0,292000.0,1280000.0,170.0,125.0,,217000000.0,1524.0,1410000.0,250.0,340.0,20.0,9.0,14.0,10150.0
H_SB_H-338x351x13x13,351.0,13.0,20.0,2470000000000.0,752106.0,"Steel, 45-345",13530.0,872000.0,1851000.0,2.03,106.0,93800000.0,282000000.0,338.0,13.0,534000.0,1670000.0,169.0,175.5,,282000000.0,1524.0,1851000.0,351.0,338.0,20.0,13.0,13.0,13530.0
H_SB_H-344x348x10x16,348.0,10.0,20.0,3020000000000.0,1059605.0,"Steel, 45-345",14600.0,980000.0,2120000.0,2.02,115.0,112000000.0,333000000.0,344.0,16.0,646000.0,1940000.0,172.0,174.0,,333000000.0,1524.0,2120000.0,348.0,344.0,20.0,10.0,16.0,14600.0
H_SB_H-344x354x16x16,354.0,16.0,20.0,3180000000000.0,1414485.0,"Steel, 45-345",16660.0,1023000.0,2247000.0,2.04,131.0,118000000.0,353000000.0,344.0,16.0,669000.0,2050000.0,172.0,177.0,,353000000.0,1524.0,2247000.0,354.0,344.0,20.0,16.0,16.0,16660.0
H_SB_H-350x350x12x19,350.0,12.0,20.0,3720000000000.0,1791089.0,"Steel, 45-345",17390.0,1180000.0,2550000.0,2.04,137.0,136000000.0,403000000.0,350.0,19.0,776000.0,2300000.0,175.0,175.0,,403000000.0,1524.0,2550000.0,350.0,350.0,20.0,12.0,19.0,17390.0
H_SB_H-350x357x19x19,357.0,19.0,20.0,3950000000000.0,2389218.0,"Steel, 45-345",19140.0,1244000.0,2760000.0,2.06,156.0,144000000.0,428000000.0,350.0,19.0,809000.0,2450000.0,175.0,178.5,,428000000.0,1524.0,2760000.0,357.0,350.0,20.0,19.0,19.0,19140.0
H_SB_H-396x199x7x11,199.0,7.0,16.0,535000000000.0,220598.0,"Steel, 45-345",7216.0,224000.0,1130000.0,1.55,56.6,14500000.0,200000000.0,396.0,11.0,145000.0,1010000.0,198.0,99.5,,200000000.0,1524.0,1130000.0,199.0,396.0,16.0,7.0,11.0,7216.0
H_SB_H-400x200x8x13,200.0,8.0,16.0,649000000000.0,358981.0,"Steel, 45-345",8412.0,268000.0,1330000.0,1.56,66.0,17400000.0,237000000.0,400.0,13.0,174000.0,1190000.0,200.0,100.0,,237000000.0,1524.0,1330000.0,200.0,400.0,16.0,8.0,13.0,8412.0
H_SB_H-404x201x9x15,201.0,9.0,16.0,768000000000.0,546777.0,"Steel, 45-345",9616.0,312000.0,1528000.0,1.57,75.5,20300000.0,275000000.0,404.0,15.0,202000.0,1360000.0,202.0,100.5,,275000000.0,1524.0,1528000.0,201.0,404.0,16.0,9.0,15.0,9616.0
H_SB_H-386x299x9x14,299.0,9.0,22.0,2160000000000.0,637367.0,"Steel, 45-345",12010.0,637000.0,1918000.0,1.91,94.3,62400000.0,337000000.0,386.0,14.0,418000.0,1740000.0,193.0,149.5,,337000000.0,1524.0,1918000.0,299.0,386.0,22.0,9.0,14.0,12010.0
H_SB_H-390x300x10x16,300.0,10.0,22.0,2520000000000.0,943867.0,"Steel, 45-345",13600.0,733000.0,2190000.0,1.92,107.0,72100000.0,387000000.0,390.0,16.0,481000.0,1980000.0,195.0,150.0,,387000000.0,1524.0,2190000.0,300.0,390.0,22.0,10.0,16.0,13600.0
H_SB_H-388x402x15x15,402.0,15.0,22.0,5650000000000.0,1324125.0,"Steel, 45-345",17850.0,1240000.0,2800000.0,2.32,140.0,163000000.0,490000000.0,388.0,15.0,809000.0,2520000.0,194.0,201.0,,490000000.0,1524.0,2800000.0,402.0,388.0,22.0,15.0,15.0,17850.0
