,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_IPE 330,IPE 330,160.0,330.0,34.3,11.5,18.0,6261.0,49.1,1.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84900000000000.0,0.0
H_SB_IPE O 330,IPE O 330,162.0,334.0,32.0,13.5,18.0,7262.0,57.0,1.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78400000000000.0,0.0
H_SB_IPE A 360,IPE A 360,170.0,357.6,39.9,11.5,18.0,6396.0,50.2,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39700000000000.0,0.0
H_SB_IPE 360,IPE 360,170.0,360.0,34.5,12.7,18.0,7273.0,57.1,1.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34400000000000.0,0.0
H_SB_IPE O 360,IPE O 360,172.0,364.0,32.0,14.7,18.0,8413.0,66.0,1.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31200000000000.0,0.0
H_SB_IPE A 400,IPE A 400,180.0,397.0,27.9,12.0,21.0,7310.0,57.4,1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500000000000.0,0.0
H_SB_IPE 400,IPE 400,180.0,400.0,25.9,13.5,21.0,8446.0,66.3,1.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24200000000000.0,0.0
H_SB_IPE O 400,IPE O 400,182.0,404.0,23.9,15.5,21.0,9639.0,75.7,1.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22100000000000.0,0.0
H_SB_IPE A 450,IPE A 450,190.0,447.0,57.9,13.1,21.0,8555.0,67.2,1.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123000000000000.0,0.0
H_SB_IPE 450,IPE 450,190.0,450.0,53.1,14.6,21.0,9882.0,77.6,1.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000000000000.0,0.0
H_SB_IPE O 450,IPE O 450,192.0,456.0,48.0,17.6,21.0,11770.0,92.4,1.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95900000000000.0,0.0
H_SB_IPE A 500,IPE A 500,200.0,497.0,39.9,14.5,21.0,10110.0,79.4,1.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75500000000000.0,0.0
H_SB_IPE 500,IPE 500,200.0,500.0,35.6,16.0,21.0,11550.0,90.7,1.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67400000000000.0,0.0
H_SB_IPE O 500,IPE O 500,202.0,506.0,32.5,19.0,21.0,13670.0,107.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60200000000000.0,0.0
H_SB_IPE A 550,IPE A 550,210.0,547.0,31.0,15.7,24.0,11730.0,92.1,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22100000000000.0,0.0
H_SB_IPE 550                 ,IPE 550                 ,210.0,550.0,26.9,17.2,24.0,13440.0,106.0,1.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19300000000000.0,0.0
H_SB_IPE O 550,IPE O 550,212.0,556.0,24.4,20.2,24.0,15610.0,123.0,1.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17300000000000.0,0.0
H_SB_IPE A 600,IPE A 600,220.0,597.0,18.8,17.5,24.0,13700.0,108.0,2.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000000000.0,0.0
H_SB_IPE 600,IPE 600,220.0,600.0,62.0,19.0,24.0,15600.0,122.0,2.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98300000000000.0,0.0
H_SB_IPE O 600,IPE O 600,224.0,610.0,56.9,24.0,24.0,19680.0,154.0,2.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000000000000.0,0.0
H_SB_IPE 750 x 147,IPE 750 x 147,265.0,753.0,47.0,17.0,17.0,18750.0,147.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67100000000000.0,0.0
H_SB_IPE 750 x 173,IPE 750 x 173,267.0,762.0,41.9,21.6,17.0,22130.0,173.0,2.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57700000000000.0,0.0
H_SB_IPE 750 x 196,IPE 750 x 196,268.0,770.0,38.1,25.4,17.0,25080.0,196.0,2.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000000000000.0,0.0
