,H_SectionID##SECTION_PROPERTY##TEXT,W##OTHER##,Structural Material##OTHER##,Assembly Code##OTHER##,Legs##OTHER##,Length##LENGTH##MILLIMETERS,Space##LENGTH##MILLIMETERS,b##LENGTH##MILLIMETERS,d##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,y##LENGTH##MILLIMETERS,A##AREA##SQUARE_METERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER
H_SB_2Ls-130x130x12,2Ls-130x130x12,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,130.0,130.0,12.0,36.4,0.005952,1.04,46.8
H_SB_2Ls-130x130x15,2Ls-130x130x15,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,130.0,130.0,15.0,37.599999999999994,0.00735,1.04,57.6
H_SB_2Ls-150x150x10,2Ls-150x150x10,8.97,Steel ASTM A36,B10,SLBB,1000.0,0.0,150.0,150.0,10.0,40.599999999999994,0.005842,1.2,45.8
H_SB_2Ls-150x150x12,2Ls-150x150x12,11.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,150.0,150.0,12.0,41.4,0.006954000000000001,1.2,54.6
H_SB_2Ls-150x150x15,2Ls-150x150x15,11.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,150.0,150.0,15.0,42.400000000000006,0.008548,1.2,67.2
H_SB_2Ls-150x150x19,2Ls-150x150x19,11.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,150.0,150.0,19.0,44.0,0.010676,1.2,83.8
H_SB_2Ls-175x175x12,2Ls-175x175x12,13.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,175.0,175.0,12.0,47.300000000000004,0.008104,1.4,63.6
H_SB_2Ls-175x175x15,2Ls-175x175x15,13.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,175.0,175.0,15.0,48.5,0.010041999999999999,1.4,78.8
H_SB_2Ls-200x200x15,2Ls-200x200x15,13.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,200.0,200.0,15.0,54.6,0.01155,1.6,90.6
H_SB_2Ls-200x200x20,2Ls-200x200x20,15.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,200.0,200.0,20.0,6.7,0.0152,1.6,119.4
H_SB_2Ls-200x200x25,2Ls-200x200x25,15.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,200.0,200.0,25.0,58.6,0.01875,1.6,147.2
H_SB_2Ls-250x250x25,2Ls-250x250x25,15.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,250.0,250.0,25.0,71.0,0.02388,2.0,187.4
H_SB_2Ls-250x250x35,2Ls-250x250x35,17.1,Steel ASTM A36,B10,SLBB,1000.0,0.0,250.0,250.0,35.0,74.5,0.03252,2.0,256.0
