,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_L89x89x7.9,L89x89x7.9,88.9,88.9,7.94,7.94,3.97,3.97,7.94,24.9,24.9,1350.0,0.348,10.7,1020000.0,1020000.0,15900.0,15900.0,28500.0,28500.0,30400.0,17000000.0,50.8,50.8,0.0,L3 1/2X3 1/2X5/16
H_SB_L89x89x9.5,L89x89x9.5,88.9,88.9,9.53,9.53,4.765,4.765,9.53,25.4,25.4,1610.0,0.351,12.6,1190000.0,1190000.0,18800.0,18800.0,33800.0,33800.0,51200.0,28500000.0,50.8,50.8,0.0,L3 1/2X3 1/2X3/8
H_SB_L89x89x11.1,L89x89x11.1,88.9,88.9,11.1,11.1,5.55,5.55,11.1,26.2,26.2,1860.0,0.351,14.6,1350000.0,1350000.0,21600.0,21600.0,38700.0,38700.0,79900.0,44000000.0,50.8,50.8,0.0,L3 1/2X3 1/2X7/16
H_SB_L89x89x12.7,L89x89x12.7,88.9,88.9,12.7,12.7,6.35,6.35,12.7,26.7,26.7,2100.0,0.351,16.5,1510000.0,1510000.0,24300.0,24300.0,43600.0,43600.0,117000.0,63900000.0,50.8,50.8,0.0,L3 1/2X3 1/2X1/2
H_SB_L102x102x6.4,L102x102x6.4,102.0,102.0,6.35,6.35,3.175,3.175,6.35,27.4,27.4,1250.0,0.402,9.8,1250000.0,1250000.0,16900.0,16900.0,29800.0,29800.0,18200.0,13600000.0,63.5,63.5,0.0,L4X4X1/4
H_SB_L102x102x7.9,L102x102x7.9,102.0,102.0,7.94,7.94,3.97,3.97,7.94,28.2,28.2,1550.0,0.402,12.2,1530000.0,1530000.0,20800.0,20800.0,37000.0,37000.0,34600.0,25900000.0,63.5,63.5,0.0,L4X4X5/16
H_SB_L102x102x9.5,L102x102x9.5,102.0,102.0,9.53,9.53,4.765,4.765,9.53,28.7,28.7,1850.0,0.399,14.6,1800000.0,1800000.0,24600.0,24600.0,44100.0,44100.0,58700.0,43500000.0,63.5,63.5,0.0,L4X4X3/8
H_SB_L102x102x11.1,L102x102x11.1,102.0,102.0,11.1,11.1,5.55,5.55,11.1,29.2,29.2,2130.0,0.402,16.8,2050000.0,2050000.0,28300.0,28300.0,50800.0,50800.0,91600.0,67700000.0,63.5,63.5,0.0,L4X4X7/16
H_SB_L102x102x12.7,L102x102x12.7,102.0,102.0,12.7,12.7,6.35,6.35,12.7,30.0,30.0,2420.0,0.402,19.0,2300000.0,2300000.0,32100.0,32100.0,57400.0,57400.0,134000.0,98300000.0,63.5,63.5,0.0,L4X4X1/2
H_SB_L102x102x15.9,L102x102x15.9,102.0,102.0,15.9,15.9,7.95,7.95,15.9,31.0,31.0,2970.0,0.402,23.4,2760000.0,2760000.0,39000.0,39000.0,70100.0,70100.0,254000.0,183000000.0,63.5,63.5,0.0,L4X4X5/8
H_SB_L102x102x19,L102x102x19,102.0,102.0,19.1,19.1,9.55,9.55,19.1,32.3,32.3,3510.0,0.404,27.5,3170000.0,3170000.0,45700.0,45700.0,82300.0,82300.0,425000.0,301000000.0,63.5,63.5,0.0,L4X4X3/4
H_SB_L127x127x7.9,L127x127x7.9,127.0,127.0,7.94,7.94,3.97,3.97,7.94,34.3,34.3,1980.0,0.505,15.3,3100000.0,3100000.0,33400.0,33400.0,59800.0,59800.0,45000.0,51800000.0,76.2,76.2,0.0,L5X5X5/16
H_SB_L127x127x9.5,L127x127x9.5,127.0,127.0,9.53,9.53,4.765,4.765,9.53,34.8,34.8,2350.0,0.505,18.3,3650000.0,3650000.0,39500.0,39500.0,71000.0,71000.0,76200.0,87800000.0,76.2,76.2,0.0,L5X5X3/8
H_SB_L127x127x11.1,L127x127x11.1,127.0,127.0,11.1,11.1,5.55,5.55,11.1,35.6,35.6,2720.0,0.5,21.3,4160000.0,4160000.0,45600.0,45600.0,81900.0,81900.0,118000.0,136000000.0,76.2,76.2,0.0,L5X5X7/16
H_SB_L127x127x12.7,L127x127x12.7,127.0,127.0,12.7,12.7,6.35,6.35,12.7,36.1,36.1,3090.0,0.501,24.1,4700000.0,4700000.0,51600.0,51600.0,92800.0,92800.0,174000.0,200000000.0,76.2,76.2,0.0,L5X5X1/2
H_SB_L127x127x15.9,L127x127x15.9,127.0,127.0,15.9,15.9,7.95,7.95,15.9,37.3,37.3,3810.0,0.502,29.8,5660000.0,5660000.0,63100.0,63100.0,114000.0,114000.0,330000.0,376000000.0,76.2,76.2,0.0,L5X5X5/8
H_SB_L127x127x19,L127x127x19,127.0,127.0,19.1,19.1,9.55,9.55,19.1,38.6,38.6,4500.0,0.505,35.1,6530000.0,6530000.0,74100.0,74100.0,133000.0,133000.0,554000.0,623000000.0,76.2,76.2,0.0,L5X5X3/4
H_SB_L127x127x22.2,L127x127x22.2,127.0,127.0,22.2,22.2,11.1,11.1,22.2,39.6,39.6,5160.0,0.503,40.5,7410000.0,7410000.0,84600.0,84600.0,153000.0,153000.0,862000.0,948000000.0,76.2,76.2,0.0,L5X5X7/8
