,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Flange Thickness Location##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_C150x12.2,C150x12.2,48.8,152.0,8.71,5.08,4.355,8.71,13.0,21.86,1540.0,12.2,5450000.0,286000.0,71300.0,8000.0,84600.0,16200.0,30600.0,1260000000.0,28.575,ChannelsC6X8.2
H_SB_C130x13,C130x13,48.0,127.0,8.13,8.26,4.065,8.13,12.1,19.87,1700.0,13.0,3700000.0,260000.0,58300.0,7280.0,71900.0,15000.0,45400.0,787000000.0,28.575,ChannelsC5X9
H_SB_C130x10.4,C130x10.4,44.5,127.0,8.13,4.83,4.065,8.13,12.3,19.835,1270.0,10.4,3110000.0,196000.0,49000.0,6100.0,58200.0,12400.0,22900.0,596000000.0,0.0,ChannelsC5X6.7
H_SB_C100x10.8,C100x10.8,43.7,102.0,7.52,8.15,3.76,7.52,11.7,17.775,1370.0,10.8,1910000.0,177000.0,37500.0,5520.0,46500.0,11400.0,34000.0,333000000.0,25.4,ChannelsC4X7.25
H_SB_C100x9.3,C100x9.3,41.91,102.0,6.91,6.2738,3.455,6.91,11.0,17.8181,1140.0,9.3,1660000.0,144000.0,32800.0,4650.0,39800.0,9320.0,20300.0,277000000.0,0.0,ChannelsC4X6.25
H_SB_C100x8,C100x8,40.1,102.0,7.52,4.67,3.76,7.52,11.6,17.715,1020.0,8.0,1600000.0,130000.0,31500.0,4540.0,37500.0,9260.0,16600.0,247000000.0,0.0,ChannelsC4X5.4
H_SB_C100x6.7,C100x6.7,40.1,102.0,7.52,3.18,3.76,7.52,12.5,18.46,890.0,6.7,1520000.0,120000.0,30000.0,4340.0,34700.0,8700.0,13400.0,234000000.0,0.0,ChannelsC4X4.5
H_SB_C75x8.9,C75x8.9,40.6,76.2,6.93,9.04,3.465,6.93,11.6,15.78,1140.0,8.9,862000.0,125000.0,22600.0,4310.0,28500.0,8900.0,30200.0,124000000.0,0.0,ChannelsC3X6
H_SB_C75x7.4,C75x7.4,38.1,76.2,6.93,6.55,3.465,6.93,11.2,15.775,948.0,7.4,770000.0,100000.0,20200.0,3740.0,24900.0,7600.0,17700.0,102000000.0,0.0,ChannelsC3X5
H_SB_C75x6.1,C75x6.1,35.8,76.2,6.93,4.32,3.465,6.93,11.1,15.74,774.0,6.1,687000.0,79500.0,18000.0,3210.0,21600.0,6540.0,11200.0,82400000.0,0.0,ChannelsC3X4.1
H_SB_C75x5.2,C75x5.2,34.8,76.2,6.93,3.35,3.465,6.93,11.3,15.725,703.0,5.2,653000.0,70300.0,17000.0,2980.0,20300.0,5960.0,9410.0,74100000.0,0.0,ChannelsC3X3.5
