,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_HE 340 AA,300,320,11.5,11.5,27,100.5,78.9,1.777,0,0,0,0,0,0,0,0,0
H_SB_HE 340 A,300,330,16.5,16.5,27,133.5,105,1.795,0,0,0,0,0,0,0,0,0
H_SB_HE 340 B,300,340,21.5,21.5,27,170.9,134,1.81,0,0,0,0,0,0,0,0,0
H_SB_HE 340 M,309,377,40,40,27,315.8,248,1.902,0,0,0,0,0,0,0,0,0
H_SB_HE 360 AA,300,339,12,12,27,106.6,84,1.814,0,0,0,0,0,0,0,0,0
H_SB_HE 360 A,300,350,17.5,17.5,27,142.8,112,1.834,0,0,0,0,0,0,0,0,0
H_SB_HE 360 B,300,360,22.5,22.5,27,180.6,142,1.849,0,0,0,0,0,0,0,0,0
H_SB_HE 360 M,308,395,40,40,27,318.8,250,1.934,0,0,0,0,0,0,0,0,0
H_SB_HE 400 AA,300,378,13,13,27,117.7,92,1.891,0,0,0,0,0,0,0,0,0
H_SB_HE 400 A,300,390,19,19,27,159,125,1.912,0,0,0,0,0,0,0,0,0
H_SB_HE 400 B,300,400,24,24,27,197.8,155,1.927,0,0,0,0,0,0,0,0,0
H_SB_HE 400 M,307,432,40,40,27,325.8,256,2.004,0,0,0,0,0,0,0,0,0
H_SB_HE 450 AA,300,425,13.5,13.5,27,127.1,100,1.984,0,0,0,0,0,0,0,0,0
H_SB_HE 450 A,300,440,21,21,27,178,140,2.011,0,0,0,0,0,0,0,0,0
H_SB_HE 450 B,300,450,26,26,27,218,171,2.026,0,0,0,0,0,0,0,0,0
H_SB_HE 450 M,307,478,40,40,27,335.4,263,2.096,0,0,0,0,0,0,0,0,0
H_SB_HE 500 AA,300,472,14,14,27,136.9,107,2.077,0,0,0,0,0,0,0,0,0
H_SB_HE 500 A,300,490,23,23,27,197.5,155,2.11,0,0,0,0,0,0,0,0,0
H_SB_HE 500 B,300,500,28,28,27,238.6,187,2.125,0,0,0,0,0,0,0,0,0
H_SB_HE 500 M,306,524,40,40,27,344.3,270,2.184,0,0,0,0,0,0,0,0,0
H_SB_HE 550 AA,300,522,15,15,27,152.8,120,2.175,0,0,0,0,0,0,0,0,0
H_SB_HE 550 A,300,540,24,24,27,211.8,166,2.209,0,0,0,0,0,0,0,0,0
H_SB_HE 550 B,300,550,29,29,27,254.1,199,2.224,0,0,0,0,0,0,0,0,0
H_SB_HE 550 M,306,572,40,40,27,354.4,278,2.28,0,0,0,0,0,0,0,0,0
H_SB_HE 600 AA,300,571,15.5,15.5,27,164.1,129,2.272,0,0,0,0,0,0,0,0,0
H_SB_HE 600 A,300,590,25,25,27,226.5,178,2.308,0,0,0,0,0,0,0,0,0
H_SB_HE 600 B,300,600,30,30,27,270,212,2.323,0,0,0,0,0,0,0,0,0
H_SB_HE 600 M,305,620,40,40,27,363.7,285,2.372,0,0,0,0,0,0,0,0,0
H_SB_HE 600 x 337,310,632,46,46,27,429.2,337,2.407,0,0,0,0,0,0,0,0,0
H_SB_HE 600 x 399,315,648,54,54,27,508.5,399,2.45,0,0,0,0,0,0,0,0,0
H_SB_HE 650 AA,300,620,16,16,27,175.8,138,2.369,0,0,0,0,0,0,0,0,0
H_SB_HE 650 A,300,640,26,26,27,241.6,190,2.407,0,0,0,0,0,0,0,0,0
H_SB_HE 650 B,300,650,31,31,27,286.3,225,2.422,0,0,0,0,0,0,0,0,0
H_SB_HE 650 M,305,668,40,40,27,373.7,293,2.468,0,0,0,0,0,0,0,0,0
H_SB_HE 650 x 343,309,680,46,46,27,437.5,343,2.5,0,0,0,0,0,0,0,0,0
H_SB_HE 650 x 407,314,696,54,54,27,518.8,407,2.543,0,0,0,0,0,0,0,0,0
H_SB_HE 700 AA,300,670,17,17,27,190.9,150,2.468,0,0,0,0,0,0,0,0,0
H_SB_HE 700 A,300,690,27,27,27,260.5,204,2.505,0,0,0,0,0,0,0,0,0
H_SB_HE 700 B,300,700,32,32,27,306.4,241,2.52,0,0,0,0,0,0,0,0,0
H_SB_HE 700 M,304,716,40,40,27,383,301,2.56,0,0,0,0,0,0,0,0,0
H_SB_HE 700 x 352,308,728,46,46,27,448.6,352,2.592,0,0,0,0,0,0,0,0,0
H_SB_HE 700 x 418,313,744,54,54,27,531.9,418,2.635,0,0,0,0,0,0,0,0,0
H_SB_HE 800 AA,300,770,18,18,30,218.5,172,2.66,0,0,0,0,0,0,0,0,0
H_SB_HE 800 A,300,790,28,28,30,285.8,224,2.698,0,0,0,0,0,0,0,0,0
H_SB_HE 800 B,300,800,33,33,30,334.2,262,2.713,0,0,0,0,0,0,0,0,0
H_SB_HE 800 M,303,814,40,40,30,404.3,317,2.746,0,0,0,0,0,0,0,0,0
H_SB_HE 800 x 373,308,826,46,46,30,474.6,373,2.782,0,0,0,0,0,0,0,0,0
H_SB_HE 800 x 444,313,842,54,54,30,566,444,2.824,0,0,0,0,0,0,0,0,0
H_SB_HE 900 AA,300,870,20,20,30,252.2,198,2.858,0,0,0,0,0,0,0,0,0
H_SB_HE 900 A,300,890,30,30,30,320.5,252,2.896,0,0,0,0,0,0,0,0,0
H_SB_HE 900 B,300,900,35,35,30,371.3,291,2.911,0,0,0,0,0,0,0,0,0
H_SB_HE 900 M,302,910,40,40,30,423.6,333,2.934,0,0,0,0,0,0,0,0,0
H_SB_HE 900 x 391,307,922,46,46,30,497.7,391,2.97,0,0,0,0,0,0,0,0,0
H_SB_HE 900 x 466,312,938,54,54,30,593.7,466,3.012,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 AA,300,970,21,21,30,282.2,222,3.056,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 A,300,990,31,31,30,346.8,272,3.095,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 B,300,1000,36,36,30,400,314,3.11,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 M,302,1008,40,40,30,444.2,349,3.13,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 x 393,303,1016,43.9,43.9,30,500.2,393,3.144,0,0,0,0,0,0,0,0,0
H_SB_HE 1000 x 409,306,1020,46,46,30,521.2,409,3.162,0,0,0,0,0,0,0,0,0
