,Structural Material##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,tr##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,A##AREA##SQUARE_METERS
H_SC_RHS-30x20x1.2,"Steel, 45-345",20,30,2.4,1.2,0.1,0.868,1.105
H_SC_RHS-30x20x1.6,"Steel, 45-345",20,30,3.2,1.6,0.1,1.124,1.4317
H_SC_RHS-40x20x1.2,"Steel, 45-345",20,40,2.4,1.2,0.12,1.053,1.3453
H_SC_RHS-40x20x1.6,"Steel, 45-345",20,40,3.2,1.6,0.12,1.375,1.7517
H_SC_RHS-50x20x1.6,"Steel, 45-345",20,50,3.2,1.6,0.14,1.63,2.072
H_SC_RHS-50x20x2.3,"Steel, 45-345",20,50,4.6,2.3,0.14,2.25,2.872
H_SC_RHS-50x20x1.6,"Steel, 45-345",20,50,3.2,1.6,0.14,1.88,2.392
H_SC_RHS-50x20x2.3,"Steel, 45-345",20,50,4.6,2.3,0.14,2.62,3.332
H_SC_RHS-60x30x1.6,"Steel, 45-345",30,60,3.2,1.6,0.18,2.13,2.712
H_SC_RHS-60x30x2.3,"Steel, 45-345",30,60,4.6,2.3,0.18,2.98,3.792
H_SC_RHS-60x30x3.2,"Steel, 45-345",30,60,6.4,3.2,0.18,3.99,5.087
H_SC_RHS-75x20x1.6,"Steel, 45-345",20,75,3.2,1.6,0.19,2.25,2.872
H_SC_RHS-75x20x2.3,"Steel, 45-345",20,75,4.6,2.3,0.19,3.16,4.022
H_SC_RHS-75x20x1.6,"Steel, 45-345",20,75,3.2,1.6,0.19,2.88,3.672
H_SC_RHS-75x20x2.3,"Steel, 45-345",20,75,4.6,2.3,0.19,4.06,5.172
H_SC_RHS-75x20x3.2,"Steel, 45-345",20,75,6.4,3.2,0.19,5.5,7.007
H_SC_RHS-80x40x1.6,"Steel, 45-345",40,80,3.2,1.6,0.24,2.88,3.672
H_SC_RHS-80x40x2.3,"Steel, 45-345",40,80,4.6,2.3,0.24,4.06,5.172
H_SC_RHS-80x40x1.6,"Steel, 45-345",40,80,3.2,1.6,0.24,5.5,7.007
H_SC_RHS-90x45x2.3,"Steel, 45-345",45,90,4.6,2.3,0.27,4.6,5.862
H_SC_RHS-90x45x3.2,"Steel, 45-345",45,90,6.4,3.2,0.27,6.25,7.967
H_SC_RHS-100x20x1.6,"Steel, 45-345",20,100,3.2,1.6,0.24,2.88,3.672
H_SC_RHS-100x20x2.3,"Steel, 45-345",20,100,4.6,2.3,0.24,4.06,5.172
H_SC_RHS-100x40x1.6,"Steel, 45-345",40,100,3.2,1.6,0.28,3.38,4.312
H_SC_RHS-100x40x2.3,"Steel, 45-345",40,100,4.6,2.3,0.28,4.78,6.092
H_SC_RHS-100x40x4.2,"Steel, 45-345",40,100,8.4,4.2,0.28,8.32,10.6
H_SC_RHS-100x50x1.6,"Steel, 45-345",50,100,3.2,1.6,0.3,3.64,4.632
H_SC_RHS-100x50x2.3,"Steel, 45-345",50,100,4.6,2.3,0.3,5.14,6.552
H_SC_RHS-100x50x23.2,"Steel, 45-345",50,100,6.4,3.2,0.3,7.01,8.927
H_SC_RHS-100x50x4.5,"Steel, 45-345",50,100,9,4.5,0.3,9.55,12.17
H_SC_RHS-125x40x1.6,"Steel, 45-345",40,125,3.2,1.6,0.33,4.01,5.112
H_SC_RHS-125x40x2.3,"Steel, 45-345",40,125,4.6,2.3,0.33,5.69,7.242
H_SC_RHS-125x75x2.3,"Steel, 45-345",75,125,4.6,2.3,0.4,6.95,8.852
H_SC_RHS-125x75x3.2,"Steel, 45-345",75,125,6.4,3.2,0.4,9.52,12.13
H_SC_RHS-125x75x4.0,"Steel, 45-345",75,125,8,4,0.4,11.7,14.95
H_SC_RHS-125x75x4.5,"Steel, 45-345",75,125,9,4.5,0.4,13.1,16.67
H_SC_RHS-125x75x6.0,"Steel, 45-345",75,125,12,6,0.4,17,21.63
H_SC_RHS-150x75x3.2,"Steel, 45-345",75,150,6.4,3.2,0.45,10.8,13.73
H_SC_RHS-150x75x4.5,"Steel, 45-345",75,150,9,4.5,0.45,15.2,19.37
H_SC_RHS-150x75x5.0,"Steel, 45-345",75,150,10,5,0.45,16.8,21.36
H_SC_RHS-150x80x6.0,"Steel, 45-345",80,150,12,6,0.46,19.8,25.23
H_SC_RHS-150x80x4.5,"Steel, 45-345",80,150,9,4.5,0.46,12,15.33
H_SC_RHS-150x80x5.0,"Steel, 45-345",80,150,10,5,0.46,16.6,21.17
H_SC_RHS-150x80x6.0,"Steel, 45-345",80,150,12,6,0.46,21.7,27.63
H_SC_RHS-150x100x3.2,"Steel, 45-345",100,150,6.4,3.2,0.5,31.1,39.67
H_SC_RHS-200x100x4.5,"Steel, 45-345",100,200,9,4.5,0.6,20.1,25.67
H_SC_RHS-200x150x6.0,"Steel, 45-345",100,200,12,6,0.6,26.4,33.63
H_SC_RHS-200x150x9.0,"Steel, 45-345",100,200,18,9,0.6,38.2,48.67
H_SC_RHS-200x150x4.5,"Steel, 45-345",100,200,9,4.5,0.6,23.7,30.17
H_SC_RHS-200x150x6.0,"Steel, 45-345",100,200,12,6,0.6,31.1,39.63
H_SC_RHS-200x150x9.0,"Steel, 45-345",150,200,12,6,0.8,45.3,57.67
