,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT345x209.5,366,371,49,26.9,20.1,285.9,26800,210,282000000,199000000,982000,1090000,1790000,1690000,16500000,62300000000,139.7,WT13.5X140.5
H_SB_WT345x192,363,368,45,24.9,20,284.9,24600,192,255000000,179000000,896000,987000,1620000,1530000,12800000,47800000000,139.7,WT13.5X129
H_SB_WT345x175,361,363,40.9,23.1,20.1,281.7,22400,175,231000000,160000000,819000,888000,1470000,1370000,9740000,36300000000,139.7,WT13.5X117.5
H_SB_WT345x161.5,358,361,38.1,21.1,20.1,282.3,20600,162,209000000,147000000,741000,818000,1330000,1260000,7830000,28200000000,139.7,WT13.5X108.5
H_SB_WT345x144.5,356,358,34,19.1,20.1,281.3,18500,145,185000000,129000000,660000,723000,1180000,1110000,5620000,20000000000,139.7,WT13.5X97
H_SB_WT345x132.5,358,353,30.2,18.4,20.1,275.8,17000,132,172000000,116000000,626000,646000,1110000,996000,4160000,15500000000,139.7,WT13.5X89
H_SB_WT345x120,356,351,27.4,16.8,20.1,275.3,15400,120,155000000,103000000,564000,580000,996000,893000,3130000,11500000000,139.7,WT13.5X80.5
H_SB_WT345x108.5,356,348,24.8,15.4,19.9,273.3,13900,108,140000000,92400000,511000,519000,901000,800000,2340000,8510000000,139.7,WT13.5X73
H_SB_WT345x96,254,351,27.9,15.5,15.3,264.9,12200,96,134000000,38400000,508000,302000,903000,472000,2310000,6440000000,139.7,WT13.5X64.5
H_SB_WT345x85,257,345,23.6,14.5,15.3,258.1,10800,85,120000000,33000000,464000,259000,826000,403000,1520000,4700000000,139.7,WT13.5X57
H_SB_WT345x76,254,343,21.1,13.1,15.2,257.4,9680,76,107000000,29000000,415000,228000,737000,356000,1090000,3380000000,139.7,WT13.5X51
H_SB_WT345x70,254,343,18.9,12.4,15.1,256.4,8900,70,99500000,25800000,390000,203000,695000,318000,837000,2740000000,139.7,WT13.5X47
H_SB_WT345x62.5,254,340,16.3,11.7,15.2,251.6,8000,62.5,89900000,22000000,359000,174000,642000,272000,583000,2090000000,139.7,WT13.5X42
H_SB_WT305x275.5,348,356,69.1,38.6,12.7,265.3,35200,276,324000000,242000000,1220000,1390000,2290000,2180000,41600000,1.49E+11,139.7,WT12X185
H_SB_WT305x249,343,351,63,35.1,12.7,264.1,31700,249,286000000,214000000,1090000,1240000,2020000,1950000,31500000,1.09E+11,139.7,WT12X167.5
H_SB_WT305x227.5,340,345,57.9,32,12.7,261.4,29000,228,254000000,191000000,973000,1120000,1800000,1750000,24300000,81900000000,139.7,WT12X153
H_SB_WT305x207.5,338,340,53.1,29.5,12.7,259.2,26500,208,227000000,171000000,878000,1010000,1620000,1580000,18800000,61800000000,139.7,WT12X139.5
H_SB_WT305x186,335,335,48,26.4,12.7,257.5,23700,186,199000000,151000000,773000,900000,1420000,1400000,13800000,44300000000,139.7,WT12X125
H_SB_WT305x170.5,333,330,43.9,24.4,12.7,254.8,21700,170,179000000,136000000,703000,814000,1280000,1260000,10600000,33600000000,139.7,WT12X114.5
H_SB_WT305x153.5,330,328,39.9,22.1,12.7,255.1,19500,154,159000000,120000000,628000,728000,1140000,1120000,7950000,24500000000,139.7,WT12X103.5
H_SB_WT305x142.5,330,323,37.1,20.6,12.7,251.9,18200,142,146000000,110000000,577000,670000,1040000,1030000,6370000,19500000000,139.7,WT12X96
H_SB_WT305x131,328,320,34,19.1,12.7,250.4,16600,131,133000000,99900000,528000,610000,947000,939000,4950000,15000000000,139.7,WT12X88
H_SB_WT305x120.5,330,318,31,17.9,12.7,249.4,15400,120,122000000,92000000,490000,560000,873000,862000,3840000,11800000000,139.7,WT12X81
H_SB_WT305x108.5,328,315,27.7,16.5,12.7,247.4,13900,108,110000000,81200000,446000,497000,790000,764000,2790000,8570000000,139.7,WT12X73
H_SB_WT305x97.5,328,310,24.4,15.4,12.7,242.7,12500,97.5,99100000,70800000,406000,434000,719000,667000,1970000,6200000000,139.7,WT12X65.5
H_SB_WT305x87,325,307,21.6,14,12.7,240.5,11100,87,88200000,62000000,365000,380000,642000,585000,1390000,4400000000,139.7,WT12X58.5
H_SB_WT305x77.5,325,305,19.1,12.7,12.7,239.2,9870,77.5,78700000,54100000,328000,333000,575000,511000,978000,3120000000,139.7,WT12X52
H_SB_WT305x76.5,229,312,24.9,14,12.7,235.5,9740,76.5,84900000,24800000,361000,218000,642000,339000,1470000,3300000000,139.7,WT12X51.5
H_SB_WT305x70,230,310,22.2,13.1,12.9,234.1,8900,70,77400000,22700000,333000,197000,592000,306000,1090000,2570000000,139.7,WT12X47
H_SB_WT305x62.5,229,307,19.6,11.9,12.7,231.6,8000,62.5,69100000,19600000,300000,172000,533000,267000,766000,1850000000,139.7,WT12X42
H_SB_WT305x56.5,228,305,17.3,11.2,12.7,228.8,7230,56.5,62900000,17200000,277000,150000,493000,234000,558000,1420000000,139.7,WT12X38
