,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_L102x102x6.4,102,102,6.35,6.35,3.175,3.175,6.35,27.4,27.4,1250,0.402,9.8,1250000,1250000,16900,16900,29800,29800,18200,13600000,63.5,63.5,0,L4X4X1/4
H_SC_L102x102x7.9,102,102,7.94,7.94,3.97,3.97,7.94,28.2,28.2,1550,0.402,12.2,1530000,1530000,20800,20800,37000,37000,34600,25900000,63.5,63.5,0,L4X4X5/16
H_SC_L102x102x9.5,102,102,9.53,9.53,4.765,4.765,9.53,28.7,28.7,1850,0.399,14.6,1800000,1800000,24600,24600,44100,44100,58700,43500000,63.5,63.5,0,L4X4X3/8
H_SC_L102x102x11.1,102,102,11.1,11.1,5.55,5.55,11.1,29.2,29.2,2130,0.402,16.8,2050000,2050000,28300,28300,50800,50800,91600,67700000,63.5,63.5,0,L4X4X7/16
H_SC_L102x102x12.7,102,102,12.7,12.7,6.35,6.35,12.7,30,30,2420,0.402,19,2300000,2300000,32100,32100,57400,57400,134000,98300000,63.5,63.5,0,L4X4X1/2
H_SC_L102x102x15.9,102,102,15.9,15.9,7.95,7.95,15.9,31,31,2970,0.402,23.4,2760000,2760000,39000,39000,70100,70100,254000,183000000,63.5,63.5,0,L4X4X5/8
H_SC_L102x102x19,102,102,19.1,19.1,9.55,9.55,19.1,32.3,32.3,3510,0.404,27.5,3170000,3170000,45700,45700,82300,82300,425000,301000000,63.5,63.5,0,L4X4X3/4
H_SC_L127x127x7.9,127,127,7.94,7.94,3.97,3.97,7.94,34.3,34.3,1980,0.505,15.3,3100000,3100000,33400,33400,59800,59800,45000,51800000,76.2,76.2,0,L5X5X5/16
H_SC_L127x127x9.5,127,127,9.53,9.53,4.765,4.765,9.53,34.8,34.8,2350,0.505,18.3,3650000,3650000,39500,39500,71000,71000,76200,87800000,76.2,76.2,0,L5X5X3/8
H_SC_L127x127x11.1,127,127,11.1,11.1,5.55,5.55,11.1,35.6,35.6,2720,0.5,21.3,4160000,4160000,45600,45600,81900,81900,118000,136000000,76.2,76.2,0,L5X5X7/16
