,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-250x255x14x14,255,14,16,5.39E+11,682341,"Steel, 45-345",10470,468000,1040000,1.47,82.2,3.88E+07,1.15E+08,250,14,304000,919000,125,127.5,,1.15E+08,1524,1040000,255,250,16,14,14,10470
H_SB_H-298x149x5.5x8,149,5.5,13,92732836967,66942,"Steel, 45-345",4080,91800,475000,1.16,32,4.42E+06,6.32E+07,298,8,59300,424000,149,74.5,,6.32E+07,1524,475000,149,298,13,5.5,8,4080
H_SB_H-300x150x6.5x9,150,6.5,13,1.07E+11,99539,"Steel, 45-345",4678,105000,542000,1.17,36.7,5.08E+06,7.21E+07,300,9,67700,481000,150,75,,7.21E+07,1524,542000,150,300,13,6.5,9,4678
H_SB_H-294x200x8x12,200,8,18,3.18E+11,278528,"Steel, 45-345",7238,247000,859000,1.34,56.8,1.60E+07,1.13E+08,294,12,160000,771000,147,100,,1.13E+08,1524,859000,200,294,18,8,12,7238
H_SB_H-298x201x9x14,201,9,18,3.82E+11,436708,"Steel, 45-345",8336,291000,1000000,1.35,65.4,1.90E+07,1.33E+08,298,14,189000,893000,149,100.5,,1.33E+08,1524,1000000,201,298,18,9,14,8336
H_SB_H-294x302x12x12,302,12,18,1.10E+12,510336,"Steel, 45-345",10770,560000,1280000,1.74,84.5,5.52E+07,1.69E+08,294,12,365000,1150000,147,151,,1.69E+08,1524,1280000,302,294,18,12,12,10770
H_SB_H-298x299x9x14,299,9,18,1.26E+12,615983,"Steel, 45-345",11080,634000,1389000,1.74,87,6.24E+07,1.88E+08,298,14,417000,1270000,149,149.5,,1.88E+08,1524,1389000,299,298,18,9,14,11080
H_SB_H-300x300x10x15,300,10,18,1.37E+12,770000,"Steel, 45-345",11980,684000,1500000,1.75,94,6.75E+07,2.04E+08,300,15,450000,1360000,150,150,,2.04E+08,1524,1500000,300,300,18,10,15,11980
H_SB_H-300x305x15x15,305,15,18,1.44E+12,1006875,"Steel, 45-345",13480,716000,1610000,1.76,106,7.10E+07,2.15E+08,300,15,466000,1440000,150,152.5,,2.15E+08,1524,1610000,305,300,18,15,15,13480
H_SB_H-304x301x11x17,301,11,18,1.59E+12,1113208,"Steel, 45-345",13480,781000,1705000,1.76,106,7.73E+07,2.34E+08,304,17,514000,1540000,152,150.5,,2.34E+08,1524,1705000,301,304,18,11,17,13480
H_SB_H-310x305x15x20,305,15,18,1.99E+12,1952917,"Steel, 45-345",16530,949000,2079000,1.78,130,9.46E+07,2.82E+08,310,20,620000,1810000,155,152.5,,2.82E+08,1524,2079000,305,310,18,15,20,16530
