AR, , , , ,형상제작(더미 포함),Cat.1, Cat.3 값 기반 보정 계산 산출(by Parameter),DYNAMO
가상 모델링 산출,카테고리 유무, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ001,Earth Work,null,Excavation,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00004,Structural Foundations>All element of Category,기초 하부면 외곽선 추출,1. 외곽선 오프셋 
  (최소폭 고려)
2. GL 레벨로 복사  
  (휴식각 고려)
3. Solid 작성,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 2, , 
A01ZZ011,Earth Work,null,Anti Termite Treatment,M2,0,0,0,1,O, ,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면, , ,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ012,Earth Work,null,PE Sheet (Vapor Barrier),M2,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ013,Earth Work,null,Sheet Pile,M2,0,0,0,1,O, , , , , , , , , , , ,Structural Foundations>All element of Category,독립기초 형상,기초 바운더리 박스 오프셋, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA014,Pile Work,Piling Work,Reinforced Concrete Pile (Round Type),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA015,Pile Work,Piling Work,Reinforced Concrete Pile (Square Type),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA016,Pile Work,Piling Work,Pretensioned Concrete Pile (Type-A),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA017,Pile Work,Piling Work,Pretensioned Concrete Pile (Type-B),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA018,Pile Work,Piling Work,Pretensioned High-strength Concrete Pile (Type-A),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA019,Pile Work,Piling Work,Pretensioned High-strength Concrete Pile (Type-B),M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA020,Pile Work,Piling Work,Steel Pipe Pile Work,M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA021,Pile Work,Piling Work,H-Pile Work,M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA022,Pile Work,Piling Work,Micro Pile Work,M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AA023,Pile Work,Piling Work,Cast-In-Place Pile Work,M,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AB024,Pile Work,Pile Test,Static Axial Compressive Load Test,EA,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AB025,Pile Work,Pile Test,Static Axial Tensile Load Test,EA,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AB026,Pile Work,Pile Test,Lateral Load Test,EA,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A02AB027,Pile Work,Pile Test,Dynamic Load Test,EA,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
